#{"t_start": 1681814920.0891016, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
-111.07832,2880,507.631679,False,True,False,0,5874934615388537134,2880,0,0,0,15.902102379057126,14.125,14.553490202439876,19054.845435773914,20713.3749999999,13773.417200467597,1506.184837917533,2886.0,1291.7571530071393,-9530.481125064562,-5967.0,-47810.43177996133,793.9518931572469,863.0572916666667,573.8923833528145,204480,2880,13175,513,792,0,613,0,962,706,-111.07879166666686,621.4012500000003,-774.2900000000191,0,-596.6999999999922,-60.200000000000315,143.31599999999992,0,0,1
-292.62558,2880,507.631679,False,True,False,1,4720721261117928062,2880,0,0,0,15.929165469709943,11.625,13.568780977348396,16063.71795991996,8608.958333333365,10287.793104250051,1168.2979743443136,3363.0,1270.6366586661104,-31007.676795005984,-8693.0,-3386.8489300138367,669.3215816633261,358.7065972222232,428.658046010417,296640,2880,26755,854,905,0,0,0,1121,545,-292.6272083333372,258.26874999999757,-1226.4000000000317,0,-869.3000000000111,-106.00000000000097,187.6679999999982,0,0,1
-137.0365,2880,507.631679,False,True,False,2,2412946043537042528,2880,0,0,0,16.635039401226255,14.125,14.378517557306438,18064.70445329599,18270.875,16181.989560944206,1506.435819320908,3483.0,1534.9750883952863,-17342.864117836198,-6442.0,-222938.8860338104,752.6960188873335,761.2864583333264,674.2495650393397,187200,2880,17542,505,969,0,245,0,1161,82,-137.03729166666622,548.1262499999953,-790.450000000046,0,-644.2000000000031,-87.0000000000007,151.29999999999927,0,0,1
-208.84769,2880,507.631679,False,True,False,3,789974133212406139,2880,0,0,0,16.33874711112752,14.125,14.568007426395171,15215.798684731351,18455.250000000004,11723.785778472113,1198.7081086485991,2709.0,1060.1294584978268,-94437.61914133115,-7948.0,-998.1082554065164,633.9916118637863,768.9687499999947,488.49107410300536,192960,2880,10102,772,848,0,357,0,903,412,-208.8467500000034,553.6574999999963,-1103.0099999999816,0,-794.8000000000195,-71.20000000000047,162.272,0,0,1
-117.577934,2880,507.631679,False,True,False,4,8698157313321341862,2880,0,0,0,16.051345115097963,14.125,14.095314080399184,16678.797230640997,16610.375000000007,15161.047304285175,1347.798412457992,3822.0,1113.854101244878,-4311.91581976777,-5859.0,-4599.308239377376,694.9498846100479,692.0989583333314,631.7103043452173,224640,2880,15412,486,819,0,301,0,1274,58,-117.57712499999975,498.3112499999967,-763.7300000000233,0,-585.8999999999895,-36.199999999999974,182.05599999999993,0,0,1
-53.928543,2880,507.632179,False,True,False,5,7424841456459477715,2880,0,0,0,15.904362312503768,14.125,15.558008199035886,25179.793653619727,23983.874999999654,19262.414441177585,1778.1324428405899,3195.0,1993.2295679361166,-9626.17378056583,-5191.0,-19686.167849620186,1049.1580689008076,999.3281249999998,802.6006017157355,120960,2880,11255,325,972,0,518,0,1065,303,-53.92862499999998,719.5162500000042,-555.3400000000216,0,-519.1000000000045,-164.19999999999922,195.55199999999874,0,0,1
0.9065371,2880,507.632179,False,True,False,6,4963690030598406526,2880,0,0,0,16.461163450129572,14.125,14.695528933026335,22462.025139432673,23065.833333333336,21314.62600645363,1908.433840311198,3867.0,1621.510984053099,-10683.228886000456,-4395.0,-2842.8427113092766,935.9177141430323,961.0763888888798,888.1094169355737,100800,2880,9408,129,1164,0,298,0,1289,767,0.9064999999999973,691.9750000000068,-335.53999999998814,0,-439.5000000000078,-88.80000000000072,177.3040000000006,0,0,1
-96.558556,2880,507.632179,False,True,False,7,5765488047046174020,2880,0,0,0,15.851704157316549,14.125,14.452711872191282,16423.66064020744,21062.249999999993,16469.239332637208,1686.8724908525858,3822.0,1471.3611582156097,-39435.32252438112,-6312.0,-3464.9720319682738,684.3191933419722,877.5937499999981,686.218305526548,259200,2880,17173,414,1138,0,54,0,1274,0,-96.55874999999996,631.867500000001,-694.6199999999868,0,-631.2000000000086,-56.000000000000256,170.59999999999863,0,0,1
-72.55783,2880,1038.296266,False,True,False,0,2488343231644625808,2880,0,0,0,16.665804596848567,12.625,14.754886691660184,17386.996260463377,15105.916666666666,11201.65002049689,1529.0262631219093,4182.0,946.4682465078479,-14673.698429367836,-5430.0,-2655.3631573713214,724.4581775193329,629.4131944444446,466.7354175207057,241920,2880,20812,243,1243,0,0,0,1394,143,-72.55775000000007,453.1774999999987,-493.1999999999863,0,-542.9999999999998,-64.40000000000038,212.07599999999962,0,0,1
40.14499,2880,1038.296266,False,True,False,1,8766480278738261042,2880,0,0,0,15.97916101221072,14.125,15.179425959191041,23424.133613755446,27090.125,22211.683923204688,1845.6393844190072,4413.0,1625.2157152957689,-27010.24154497806,-4314.0,-2613.1825200249964,976.0055672398197,1128.755208333333,925.4868301335314,184320,2880,9484,24,1382,0,3,0,1471,270,40.14495833333326,812.7037499999963,-230.18999999998437,0,-431.40000000001083,-72.00000000000048,161.75599999999955,0,0,1
