#{"t_start": 1678891920.4023523, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation
148.15392,2880,530.425059,False,True,False,0,5874934615388537134,2880,0,0,0,16.602497875624884,13.888769950044415,14.491725124964255,17512.66145262252,28811.315191239937,13616.43085834136,1280.1809406800796,1811.6773282960633,1263.762047550821,-3655.8327123519152,-1565.4661829608285,-2671.9344140653284,729.6942271926082,1200.4714663016641,567.3512857642236,204480,2880,14799,37,0,0,46,0,2,612,148.15383514994005,864.3394557371971,-100.41987194155386,0,-25.899999999999984,-82.00000000000063,232.90342710399966,0
111.11636,2880,530.425059,False,True,False,1,4720721261117928062,2880,0,0,0,15.933195096886285,13.883986127903908,15.048858378686255,16309.245114276831,17135.176453653974,14739.722247299673,1229.0337989927366,1341.4250514639286,1517.678845684801,-15315.924062712573,-1325.1385210372905,-2138.283530726009,679.5518797615459,713.9656855689176,614.1550936374946,296640,2880,21059,53,0,0,137,0,0,66,111.11625490418899,514.0552936096203,-104.16664917305513,0,-31.49999999999998,-77.60000000000056,365.9088849885659,0
136.2499,2880,530.425059,False,True,False,2,2412946043537042528,2880,0,0,0,16.572004882703684,13.860007491081848,16.471557838784705,18815.786139894954,20377.049420440653,16862.49000845283,1477.3258448669944,1494.4504033155888,1542.01773352505,-26530.045783198315,-1446.2575128973308,-5317.499773899427,783.9910891622925,849.0437258516952,702.6037503522,187200,2880,16843,18,0,0,71,0,0,261,136.2499734258062,611.3114826132228,-64.10633393755246,0,-12.599999999999996,-71.60000000000048,354.49469187916947,0
36.68946,2880,530.425059,False,True,False,3,789974133212406139,2880,0,0,0,16.351505550763058,11.199436300140402,13.536972106140256,15198.919286249007,11007.671934837872,11931.351683553867,1257.7329823120454,883.2276623898058,1050.2855634300606,-93829.46051966712,-939.1734316501005,-1058.5160936816517,633.2883035936999,458.6529972849119,497.1396534814125,192960,2880,17558,43,0,0,1165,0,0,373,36.688972966039,330.2301580451368,-77.92733541515132,0,-30.09999999999998,-241.7999999999948,239.73101516623697,0
121.10534,2880,945.016295,False,True,False,0,2488343231644625808,2880,0,0,0,16.666562366601738,12.744175123111665,14.577515408597494,17210.641501556875,14527.61626720635,13094.738928301867,1468.569905701576,1232.6258298705602,1108.202215040344,-13729.343562749149,-1012.8369083783477,-1746.6229874631579,717.1100625648698,605.317344466932,545.6141220125736,241920,2880,18709,24,0,0,94,0,0,114,121.10537752493944,435.8284880161892,-56.49342795611118,0,-16.799999999999994,-45.400000000000105,409.4972050895572,0
145.1044,2880,945.016295,False,True,False,1,8766480278738261042,2880,0,0,0,15.814825285466728,13.712408918522984,14.858849534703145,22350.66537328975,23746.934224342313,19068.608858274656,1669.0558490697333,1793.290745588555,1657.999705904643,-76943.65544596207,-1516.2431642251925,-2889.708986302686,931.2777238870809,989.4555926809327,794.5253690947711,184320,2880,13164,21,0,0,63,0,0,506,145.1043810232804,712.408026730267,-79.01599993120709,0,-14.699999999999994,-98.40000000000086,350.3342593406184,0
95.55376,2880,945.016295,False,True,False,2,2753094865414633649,2880,0,0,0,15.736089604103691,13.55241011380807,14.385739230980064,12099.412685872649,15503.819219667854,11778.947823989945,1382.7792367688883,1861.8937810742884,1811.1491280469095,-2417.4239086118223,-1799.8508450707675,-1776.8314480334172,504.14219524470167,645.992467486161,490.78949266624727,239040,2880,21999,66,0,0,150,0,0,135,95.55375808130673,465.11457659003486,-130.687499686208,0,-46.20000000000004,-125.00000000000124,410.09547158400954,0
192.31783,2880,945.016295,False,True,False,3,2184191404571879930,2880,0,0,0,16.02060436994374,13.888888888519778,15.055340883246897,28948.08428870481,31657.04782205042,24164.430300286822,1720.9398033330929,884.874865361536,1111.1147186174364,-613585.1269712135,-660.4402148128353,-2767.3005576501646,1206.1701786960184,1319.0436592520998,1006.8512625119507,100800,2880,5017,12,0,0,0,0,0,493,192.31792980778295,949.711434661511,-33.585205361884036,0,-0.7000000000000001,-59.400000000000304,297.88134954706885,0
134.21019,2880,1396.039425,False,True,False,0,377914054924498011,2880,0,0,0,16.59902192738155,12.23863466579837,14.565396243361352,15440.09284890231,18391.71087481714,16191.982314391778,1381.9141993451597,1426.6471942992794,1441.4231220829085,-3778.7605709597556,-1442.0046508911505,-2900.5346960309403,643.3372020376127,766.3212864507127,674.6659297663211,279360,2880,16177,9,0,0,137,0,0,208,134.21015234810258,551.7513262445149,-51.05222330995384,0,-6.300000000000001,-80.2000000000006,391.0618111540541,0
71.15447,2880,1396.039425,False,True,False,1,1329637740802083942,2880,0,0,0,16.65729551878367,12.497180627305948,14.885092757419226,15071.262262457845,9825.504820178805,10846.882131595306,1478.009819268216,1341.8198950086341,1327.6836319761446,-34537.90859522952,-1662.6164126367944,-175743.70178870822,627.9692609357506,409.3960341741169,451.95342214980326,273600,2880,20625,87,0,0,345,0,0,494,71.15449728193764,294.76514460536396,-148.31980533941388,0,-56.00000000000008,-57.00000000000027,393.48164442567384,0
166.21153,2880,1396.039924,False,True,False,2,7509906927484655758,2880,0,0,0,15.27817706709603,13.888866089401397,14.39600596227835,23709.502242797113,30113.87723471732,20071.03018548458,1425.3754447257672,975.5040877211374,829.4039062985267,-66629.20788065613,-943.9505345489679,-12816.249121315053,987.8959267832045,1254.7448847798917,836.2929243951917,149760,2880,6104,37,0,0,69,0,0,317,166.2115257602381,903.4163170415226,-68.72490103670368,0,-25.899999999999984,-47.20000000000013,235.6777385566087,0
136.2518,2880,1396.039924,False,True,False,3,7390452496230446618,2880,0,0,0,16.17978977563056,13.888874981648582,15.490154344508777,24459.093348185223,20202.122022282034,17185.088788224206,1600.356021473208,1322.9981665020698,1374.2905206249036,-5315.243145048672,-1102.0950815630495,-2606.1291693313437,1019.1288895077072,841.755084261754,716.045366176007,152640,2880,9797,23,0,0,76,0,0,388,136.25186658611128,606.0636606684615,-58.76540611913839,0,-16.099999999999994,-53.200000000000216,339.51294496734414,0
