#{"t_start": 1679932679.3240867, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
24.213991,1235,289.262021,False,False,True,22,3378953895584212157,1235,0,0,0,16.22170498983252,7.0625,14.784797646625426,7263.650526543803,2715.812499999998,4584.737978446866,752.3500982104459,340.5,810.0477815806902,-24953.89027709362,-351.5,-1095.9377479534662,302.65210527266663,113.15885416666708,191.03074910195093,108680,1235,11094,8,98,1,916,197,15,144,24.214014882167028,81.4743749999995,-21.690285706997482,0,-7.7,-17.19999999999997,110.4000000000001,0,1,1
37.97525,1693,405.463973,False,False,True,11,1185850812994184742,1693,0,0,0,15.636404512974263,10.25,13.699956062716568,15462.17551668113,6847.75,7514.206619705446,998.7230741990118,784.5,879.3466687797105,-1579.8370320891306,-799.0,-1581.3512018067827,644.2573131950418,285.3229166666658,313.09194248772764,64334,1693,6482,10,179,128,853,523,0,114,37.97523990298376,205.43250000000165,-37.133060582097784,0,-26.80000000000002,-63.600000000000364,149.9520000000002,0,1,1
53.369507,1980,475.473392,False,False,True,2,2412946043537042528,1980,0,0,0,16.666100558480892,9.75,14.558245973388114,11487.624068841513,8265.0,9068.653431578276,1039.1117943718127,783.0,851.8749467450697,-66981.80787085545,-830.5,-14639.704441911332,478.6510028683848,344.3750000000002,377.86055964909434,128700,1980,11343,4,251,33,1200,462,30,530,53.3695476220847,247.95000000000022,-33.800714267493966,0,-10.599999999999994,-39.20000000000002,155.868,0,1,1
-46.94667,2085,501.20314,False,False,True,18,3682945665956147689,2085,0,0,0,16.394791057421063,9.8125,14.542315900085388,14433.813670700385,5394.875,10238.368486850775,1194.805323242302,564.0,817.7153497924355,-6202.258924051184,-2510.5,-3411.5064916273886,601.4089029458307,224.78645833333388,426.59868695211685,154290,2085,10437,286,122,95,1227,334,21,24,-46.94661706085969,161.84625000000278,-381.0739523651603,0,-203.49999999999915,-55.40000000000025,196.4479999999989,0,1,1
25.032074,2155,518.565343,False,False,True,14,7664468306534606621,2155,0,0,0,15.697484816272034,10.1875,15.138354415035861,12061.9129066862,5118.520833333333,10250.886516595523,1138.5322399817053,567.0,801.0515855726092,-35641.10132172377,-1214.5,-1715.7431916251435,502.5797044452451,213.27170138888903,427.1202715248116,249980,2155,14464,97,130,97,1477,330,24,193,25.03237352955564,153.55562499999994,-141.77738382266617,0,-70.00000000000013,-20.59999999999996,229.01599999999928,0,1,1
13.173447,2230,536.923731,False,False,True,3,789974133212406139,2230,0,0,0,16.43084145167889,10.0625,15.964216295733985,11548.476128583661,8862.6875,13395.632048888569,1035.6370461859365,816.0,858.8140172895645,-28988.944378262593,-1817.5,-1126.9876635406247,481.18650535764283,369.2786458333275,558.1513353703542,149410,2230,9354,151,227,53,1280,494,25,1241,13.173521437939627,265.8806250000035,-219.41149637236254,0,-107.80000000000028,-60.200000000000315,200.57199999999875,0,1,1
74.80825,2803,677.191615,False,False,True,16,5228884918942040224,2803,0,0,0,16.332072654191244,10.125,16.332072654191244,16099.562643396432,14093.979166666666,16704.30804329418,1741.1313268111328,1404.0,1537.8078227370104,-904090.209128291,-1536.0,-16009.777805787271,670.8151101415194,587.2491319444439,696.0128351372612,176589,2803,10341,33,394,82,1396,860,38,1456,74.80759858081561,422.81937500000066,-89.37378351510812,0,-40.20000000000006,-67.20000000000041,222.79999999999987,0,1,1
111.242134,2880,695.655522,False,True,False,0,5874934615388537134,2880,0,0,0,16.451848101375983,9.958333333333334,14.535919838064869,17633.643526554464,21250.937499999465,19369.98907008893,1355.5343724613942,1146.0,745.1824955844282,-27974.931434774964,-1144.0,-145381.23527512568,734.7351469397622,885.4557291666365,807.0828779203749,204480,2880,7668,1,282,194,1665,712,26,399,111.2420958749665,637.528125000015,-39.39554975020046,0,-22.90000000000003,-74.40000000000052,166.61999999999938,0,0,1
96.33366,2880,695.656022,False,True,False,1,4720721261117928062,2880,0,0,0,16.367605417908237,9.375,14.968815236055562,15380.523515393079,11887.270833333332,11549.809896972136,1194.149916294757,1348.5,1361.9417360305101,-215375.02244793833,-1469.5,-2575.4353210746226,640.8551464746866,495.3029513888916,481.2420790405047,296640,2880,18323,37,364,79,1559,783,58,290,96.33384719744801,356.61812499999667,-92.29104181531254,0,-36.99999999999994,-38.0,388.67600000000505,0,0,1
108.979225,2880,695.656022,False,True,False,4,8698157313321341862,2880,0,0,0,16.350303689538897,10.5,15.06365327885157,18241.195538900058,14279.4375,17969.068317903068,1358.8497325780486,1435.5,1360.6870215247031,-3243.8164484583335,-1432.5,-4728.0779281389605,760.0498141208813,594.9765624999984,748.7111799126268,224640,2880,12186,0,397,161,1399,889,34,332,108.97977336502716,428.3831249999994,-49.36848480983473,0,-21.00000000000003,-30.799999999999923,326.6640000000022,0,0,1
121.96824,2880,695.656022,False,True,False,5,7424841456459477715,2880,0,0,0,16.026846367757308,10.395833333333334,14.829829881231579,24450.432594568527,20396.62499999966,18529.522784591336,1563.7668836397931,1176.0,1189.2727753774248,-10783.33515362275,-1111.0,-1808.0775257823695,1018.7680247736808,849.8593749999906,772.0634493579724,120960,2880,7294,1,310,116,1713,696,44,448,121.96832029117603,611.8987499999929,-40.89682825293916,0,-20.500000000000025,-72.8000000000005,254.10800000000003,0,0,1
116.7874,2880,695.656022,False,True,False,6,4963690030598406526,2880,0,0,0,16.661909638355677,10.0,16.659373278609724,22773.483064505697,21823.937499999854,22184.642186370853,1691.4816995418698,1359.0,1442.0708291416227,-34681.94956122756,-1159.0,-1594.0638256021987,948.8951276877096,909.3307291666736,924.3600910987864,100800,2880,7423,1,358,52,1591,850,28,563,116.78728538913062,654.7181250000011,-44.78241266521044,0,-36.40000000000002,-80.0000000000006,207.18799999999928,0,0,1
88.23169,2880,695.656022,False,True,False,7,5765488047046174020,2880,0,0,0,15.714656966441547,10.229166666666668,14.06069772587707,15414.333297597605,11026.33333333247,14359.986449074504,1588.260473729705,1185.0,1853.4055651210592,-211031.42365234796,-1149.5,-2720.123986933575,642.2638873998975,459.43055555553923,598.3327687114403,259200,2880,16634,2,288,181,1651,726,32,169,88.23169432975865,330.79000000000957,-41.52383402144767,0,-25.100000000000037,-119.00000000000115,384.2240000000018,0,0,1
117.1347,2880,695.656022,False,True,False,8,3015786952870474233,2880,0,0,0,16.06108471496542,10.0625,15.516266408764595,18588.914417948206,21003.5625,20009.68113658979,1516.6204176379076,667.5,767.1039874599245,-1994255.2954761211,-619.5,-1709.9556712414144,774.5381007478244,875.1484374999984,833.7367140245797,192960,2880,8308,0,181,51,2216,419,13,31,117.13487791894872,630.1068750000046,-22.173607486307127,0,-26.10000000000004,-65.40000000000039,186.37599999999816,0,0,1
118.41692,2880,695.656022,False,True,False,9,8026632172992807823,2880,0,0,0,10.147111424435986,9.979166666666668,9.61515209935579,16605.67573194453,15799.624999999302,15312.109718865047,396.7719283375351,829.5,500.3581265338101,-247.3642601694984,-669.5,-302.0324621708865,691.9031554976792,658.3177083333184,638.0045716193779,132480,2880,7826,2,215,7,2138,483,35,1055,118.4162428481235,473.9887500000042,-28.999292911256674,0,-30.500000000000046,0,296.0080000000006,0,0,1
103.76778,2880,695.656022,False,True,False,10,8817559435777250507,2880,0,0,0,15.757197181873419,9.875,14.885720117059638,17586.9783996798,18230.999999999716,14843.398449583763,1412.3824225544192,1495.5,1490.3086893955494,-3638.032344245824,-1280.5,-1835.2881850424633,732.7907666533353,759.6249999999997,618.4749353993215,192960,2880,14228,10,372,63,1482,909,44,660,103.76761472457719,546.9299999999985,-59.592311652532764,0,-42.70000000000002,-95.40000000000082,273.3679999999983,0,0,1
98.83951,2880,695.656022,False,True,False,12,2313447293076694939,2880,0,0,0,16.54435994932452,10.25,15.96650752993874,19847.209582817708,19740.166666666522,19364.049333675746,1658.780060647995,1684.5,1786.3802328149916,-4323.712899240084,-1717.5,-2074.5884996279588,826.9670659507798,822.5069444444396,806.83538890316,273600,2880,11021,36,451,75,1237,1039,42,1435,98.83972030505382,592.2049999999997,-100.59867816967305,0,-61.49999999999994,-90.80000000000075,253.73199999999986,0,0,1
96.66113,2880,695.656022,False,True,False,13,7976349881628269149,2880,0,0,0,16.5933475259198,9.9375,14.132488908267188,13539.841505838676,14344.395833333445,10430.782550022743,1371.1815836681283,1002.0,1018.4414557614888,-3231.6156020716467,-1054.0,-3052.50409813171,564.1600627432778,597.6831597222243,434.61593958428125,290880,2880,19282,7,299,72,1856,624,22,1,96.66167036862613,430.33187500001503,-44.085852788233424,0,-20.20000000000001,-102.00000000000091,315.9240000000014,0,0,1
114.82872,2880,695.656522,False,True,False,15,6389429808806385535,2880,0,0,0,16.029707714322843,10.125,15.032258762315811,13608.961234589526,19668.0,16439.640041013437,1322.6064429596274,1521.0,1082.4373999180045,-3003.255906359122,-1297.5,-5595.648414362833,567.0400514412537,819.4999999999892,684.9850017088955,279360,2880,11222,0,397,71,1437,936,39,260,114.82928980896692,590.0400000000054,-48.93226114619345,0,-64.19999999999975,-47.20000000000013,259.26799999999855,0,0,1
116.80966,2880,695.656522,False,True,False,17,7794439212943009336,2880,0,0,0,16.48451910875881,9.875,15.135735442884776,24172.27895951168,17151.354166666566,20850.706090357726,1519.8580109153618,1110.0,1215.0626861179096,-480294.530876116,-886.0,-8000.969390232255,1007.1782899796859,714.6397569444554,868.7794204315662,138240,2880,10789,7,249,60,1858,672,34,706,116.8100897411446,514.5406249999899,-42.08408655314225,0,-17.200000000000017,-30.199999999999925,275.804,0,0,1
92.587524,2880,695.656522,False,True,False,19,3877310029415951002,2880,0,0,0,16.607070370867664,10.4375,14.149495991850815,20728.659161638872,14956.1875,14664.535346496818,1613.4652963079614,1215.0,1468.0801180370363,-4708.1009996602725,-1266.5,-3443.7731940091776,863.6941317349858,623.1744791666663,611.0223061040351,227520,2880,14514,29,310,89,1669,756,27,488,92.58790263264818,448.685625000003,-75.87020920410471,0,-34.39999999999999,-52.0000000000002,269.11199999999866,0,0,1
147.49956,2880,695.656522,False,True,False,20,2583244801918194876,2880,0,0,0,10.020393423803858,9.625,9.929852029315269,18007.047254491135,17813.0,17723.402707171972,275.0641304775042,508.5,327.4497111971981,-122.57154761313821,-367.5,-164.4120813399269,750.2936356037651,742.2083333333611,738.4751127988351,138240,2880,9056,0,122,1,2429,317,11,0,147.50093362388463,534.3900000000033,-15.124398256692874,0,-29.70000000000005,0,395.4400000000024,0,0,1
123.39811,2880,695.656522,False,True,False,21,7204538126194488376,2880,0,0,0,15.856199306737382,9.8125,14.836314599930922,16651.679228639467,18133.0625,17319.840732966954,1385.4018302380541,802.5,654.6095043395375,-4168.665828471725,-666.0,-1623.1407781949501,693.8199678599924,755.5442708333255,721.6600305402907,331200,2880,13410,0,212,20,2148,465,35,293,123.39833390749621,543.9918749999912,-26.15787155501921,0,-34.20000000000003,-23.599999999999948,280.35599999999863,0,0,1
