#{"t_start": 1680951631.8268619, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
114.67887,2880,519.703142,False,True,False,0,5874934615388537134,2880,0,0,0,16.618575246568795,13.886158367291006,15.045037745809243,19384.42168954315,22971.02604752185,16993.091254086175,1381.630907972961,1901.7821421881379,1209.614884707038,-6642.290637049323,-2456.08714685817,-15562.286766814197,807.6842370643172,957.1260853134088,708.0454689202567,204480,2880,12131,93,0,0,0,0,6,79,114.6793599997929,689.1307814256562,-194.25462142689491,0,0,-57.60000000000028,250.79999999999728,0,0,1
94.43861,2880,519.703642,False,True,False,1,4720721261117928062,2880,0,0,0,15.992933184575332,13.877832187032435,15.786041695192768,15930.22241300014,19852.44200025099,15889.791553394987,1208.3026190838004,1566.2793544815931,1285.8702464702956,-9266.629916819795,-2649.8923718827355,-14825.965740418565,663.7592672083471,827.1850833437928,662.0746480581253,296640,2880,15144,168,0,0,0,0,1,213,94.43885895730519,595.5732600075298,-273.30410626369485,0,0,-55.00000000000024,299.3640000000019,0,0,1
133.46915,2880,519.703642,False,True,False,2,2412946043537042528,2880,0,0,0,16.65840842981441,12.956603270780015,15.904250472225144,16267.701383216856,16307.21775891791,14541.219877033218,1445.2087818641708,1392.300655902173,1420.8363020381996,-325968.3863042697,-1407.2752748325545,-5865.066512259909,677.8208909673507,679.467406621579,605.8841615430526,187200,2880,18044,18,0,0,0,0,1,0,133.46928415553296,489.21653276753574,-68.02882783434043,0,0,-47.20000000000013,426.82800000000026,0,0,1
132.62885,2880,519.703642,False,True,False,3,789974133212406139,2880,0,0,0,16.19036209569558,13.779543692854146,15.494426111448389,15279.600347194497,13448.979179894766,14040.454954056338,1265.3080781633355,1010.1801727041882,1281.15363295526,-26672341.33875434,-1010.180164152963,-1236.6569185481828,636.6500144664212,560.3741324956137,585.0189564190109,192960,2880,15792,0,0,0,0,0,1,824,132.6279446860328,403.46937539684296,-28.009707280645483,0,0,-60.00000000000031,480.30799999999346,0,0,1
-26.336082,983,675.621386,True,False,False,3,2184191404571879930,983,1,0,1,16.082142222229916,11.508846714777533,14.068863070840916,9324.355053890707,6203.9138668525675,6229.477511109199,778.6039885070858,856.8152519899103,680.6652010873034,-9959.285981359937,-770.3577410620449,-502.7829197643926,388.5147939121106,258.49641111885666,259.5615629628833,34405,983,2195,32,0,0,0,0,1,411,-26.336083041535495,186.11741600557704,-67.88847585932986,-62.5622397325767,0,-48.60000000000015,147.72799999999978,0,0,1
102.56363,2880,984.960421,False,True,False,0,2488343231644625808,2880,0,0,0,16.154444880929915,11.588992547801166,14.920563375708015,16059.699788733313,12582.0089563306,11365.2154328094,1470.5053716708073,1476.1956135116857,1253.2130694618447,-5355.215446259861,-1923.0856194487326,-2707.170008021245,669.1541578638771,524.2503731804406,473.5506430337211,241920,2880,22236,51,0,0,0,0,1,355,102.56321648246204,377.46026868991817,-146.56496979514426,0,0,-63.600000000000364,448.0840000000018,0,0,1
69.319725,2880,984.960421,False,True,False,1,8766480278738261042,2880,0,0,0,15.33649409487537,12.236887074413554,14.396908312877772,20868.177422837536,15003.066617819353,15772.865581110787,1669.8225119901872,1897.880997275782,2043.965647232242,-21554.128498028032,-2879.5100997323952,-4802.339076233974,869.5073926182179,625.1277757424735,657.2027325462789,184320,2880,16592,171,0,0,0,0,0,543,69.31968667888177,450.09199853457966,-331.46987846128985,0,0,-68.60000000000043,365.89600000000956,0,0,1
135.91342,2880,984.960421,False,True,False,2,2753094865414633649,2880,0,0,0,15.87831506058671,11.074520508327861,15.218507409228446,12143.686767820307,11600.609111479887,12621.74827178119,1404.0784479776412,707.2499871468277,890.795384519325,-9547.581648662397,-450.75076739273663,-1133.8928943598569,505.9869486591917,483.35871297832824,525.9061779908835,239040,2880,15785,0,0,0,0,0,1,0,135.91353867751897,348.0182733443959,-12.821041279282912,0,0,-21.999999999999954,502.284000000008,0,0,1
138.73372,2880,1163.26122,False,True,False,3,7390452496230446618,2880,0,0,0,16.105471241323883,13.876751660226573,14.900682875613303,24509.760570292776,21012.145747220984,20496.63702137926,1576.182154158102,1775.7297894917697,1198.7233340331222,-73244.65186350861,-1514.9382001086576,-5157.9538432298805,1021.2400237621869,875.5060728008759,854.0265425574681,152640,2880,9715,20,0,0,0,0,1,223,138.73338533571385,630.3643724166308,-79.42406040234727,0,0,-50.60000000000018,332.05999999999995,0,0,1
108.73957,2880,1521.664643,False,True,False,0,377914054924498011,2880,0,0,0,16.550186241316716,10.994409937397528,16.3556191018015,14580.202008405458,13651.61111834647,11639.203244865732,1418.0184752694188,1391.8723466495394,1478.4942496116641,-22804.122873550998,-2043.136521273388,-20787.96170673616,607.5084170168963,568.8171299311052,484.966801869406,279360,2880,23795,36,0,0,0,0,1,756,108.73951353532406,409.5483335503945,-119.5072523384504,0,0,-86.20000000000068,448.5960000000031,0,0,1
58.00854,2880,1521.664643,False,True,False,1,1329637740802083942,2880,0,0,0,16.65797166216085,12.49197953019544,14.303802505840219,14850.491251166832,11971.358338942662,11501.102288257533,1481.477582815231,1668.9205411746334,1519.204457060064,-2677.8271498592694,-2855.856660155401,-2711.086101539628,618.770468798621,498.806597455944,479.2125953440647,273600,2880,23363,237,0,0,0,0,0,639,58.00849648668628,359.1407501682807,-365.80177124816305,0,0,-69.40000000000045,424.11199999999985,0,0,1
