#{"t_start": 1681298383.590254, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
103.803535,480,99.021836,False,True,False,0,5874934615388537134,480,0,0,0,15.612129910618801,11.625,14.899454990622624,2896.151743983525,3408.5,2531.381358508559,249.05749301516107,456.0,264.29842828439894,-1588.9242336912253,-438.5,-1037.1845439633573,724.0379359958813,852.125,632.8453396271398,34080,480,2457,2,137,9,66,228,38,83,103.80362771435148,102.25500000000008,-19.123372285648536,0,-1.4000000000000001,-19.599999999999962,41.671999999999976,0,0,1
115.60144,480,99.021836,False,True,False,1,4720721261117928062,480,0,0,0,15.786402462358431,12.0,15.238126483566063,2554.1403447338057,3703.25,2920.6342650616075,214.1981097523598,408.0,175.82732757659934,-2072.027377425813,-374.5,-381.8804744160939,638.5350861834514,925.8125,730.1585662654019,49440,480,1920,1,120,5,122,192,40,16,115.60149856425018,111.09750000000012,-16.072001435749947,0,-1.0,-9.599999999999998,31.17599999999999,0,0,1
131.6804,480,99.021836,False,True,False,2,2412946043537042528,480,0,0,0,16.561443515880953,13.5,14.353497844475353,2651.8086188534994,4095.75,2575.2668070815,265.39775693632606,451.5,275.413920462487,-888.930577036801,-417.0,-1434.9116721789019,662.9521547133749,1023.9375,643.816701770375,31200,480,1953,0,134,10,78,215,43,39,131.6805389693212,122.8725000000002,-16.503961030678923,0,-0.9000000000000001,-14.199999999999982,40.411999999999956,0,0,1
105.23463,480,99.021836,False,True,False,3,789974133212406139,480,0,0,0,16.662756704734353,12.0,15.10890033967885,2948.2339580379366,3417.125,2909.562339561083,275.5670517900208,501.0,213.22482495596097,-929.9227855089641,-500.5,-3571.3010587121194,737.0584895094842,854.28125,727.3905848902707,32160,480,2100,7,141,19,27,238,48,106,105.23469228940232,102.51374999999999,-26.819057710597857,0,-4.1000000000000005,-13.599999999999984,47.239999999999945,0,0,1
70.08976,480,99.021836,False,True,False,4,8698157313321341862,480,0,0,0,16.30582713086441,11.25,14.685329882082264,2692.2597317767095,1914.375,2579.7527624304084,231.34113192065632,406.5,236.87287319055017,-245952.06467846848,-552.5,-1306.3566883857106,673.0649329441774,478.59375,644.9381906076021,37440,480,2591,2,179,1,90,145,63,15,70.08974639787093,57.431249999999984,-22.149503602129492,0,-2.6000000000000005,-5.000000000000002,42.40799999999998,0,0,1
115.3298,480,99.021836,False,True,False,5,7424841456459477715,480,0,0,0,16.368640652446206,12.0,16.33303400716308,4079.8826947436146,3646.25,3094.104527970023,305.45898398961924,519.0,290.5909100521549,-15469.029486119249,-500.0,-530.1494069034895,1019.9706736859036,911.5625,773.5261319925057,20160,480,1494,2,157,10,31,214,66,30,115.32982324056852,109.38749999999997,-22.24567675943147,0,-2.6000000000000005,-15.999999999999975,46.78800000000001,0,0,1
113.93145,480,99.021836,False,True,False,6,4963690030598406526,480,0,0,0,16.363492090050396,12.375,14.472589113092907,3613.727942189143,3572.625,2991.733168689297,324.4646167347285,523.5,296.06039039350924,-8355.551132696328,-499.0,-1448.6301820758797,903.4319855472858,893.15625,747.9332921723243,16800,480,1475,4,156,2,12,263,43,259,113.93141811942273,107.17875000000006,-23.85533188057756,0,-3.400000000000001,-15.599999999999977,49.60799999999996,0,0,1
74.96956,480,99.021836,False,True,False,7,5765488047046174020,480,0,0,0,15.900320905127648,10.5,14.2149491948639,2418.5053100400232,2089.5,2313.803058251253,287.78744988191477,450.0,313.22271849456837,-994.0619368481686,-528.0,-693.6059991990012,604.6263275100058,522.375,578.4507645628132,43200,480,2582,6,160,4,61,198,51,47,74.96957720801268,62.68500000000002,-26.083422791987363,0,-5.400000000000001,-9.999999999999996,53.767999999999994,0,0,1
105.238144,480,99.022336,False,True,False,8,3015786952870474233,480,0,0,0,16.193254942209872,13.875,15.389898840272444,3011.612042315567,3690.75,2602.3425851130382,270.34195092515745,403.5,145.3661690678839,-127515.63510853951,-372.5,-497415.2904788681,752.9030105788918,922.6875,650.5856462782596,32160,480,1929,2,114,11,118,201,34,15,105.2382344955381,110.72250000000017,-16.77626550446195,0,-3.5,-17.39999999999997,32.19199999999997,0,0,1
130.48953,480,99.022336,False,True,False,9,8026632172992807823,480,0,0,0,10.128102212612047,8.625,7.936750829466891,2805.5326477312383,2670.375,2680.0886298148544,60.292522996285186,547.5,57.97666379625006,-36.449708361938065,-523.5,-33.17318285665293,701.3831619328096,667.59375,670.0221574537136,22080,480,1574,0,174,1,25,195,85,0,130.4895328354975,80.11124999999994,-21.71371716450258,0,0,0,72.09199999999996,0,0,1
