#{"t_start": 1681299845.9700563, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
113.668,480,97.242327,False,True,False,0,5874934615388537134,480,0,0,0,16.63204495104671,10.5,14.903114625789371,2809.2297821213633,2631.0,2161.5726252826403,244.94078762661823,240.0,235.0898802078382,-603.1500578109504,-208.5,-1443.6303832160734,702.3074455303408,657.75,540.3931563206601,34080,480,2825,0,54,31,239,152,4,50,113.66797836171469,78.93000000000029,-7.4060216382855515,0,-1.5000000000000002,-10.599999999999994,54.244,0,0,1
83.55382,480,97.242827,False,True,False,1,4720721261117928062,480,0,0,0,16.284416825722726,9.75,15.492465422034781,2401.6309744202986,2341.875,2504.667065628113,201.5523811314852,217.5,191.67416535796568,-1169.6662125813498,-242.5,-248.96604984168965,600.4077436050746,585.46875,626.1667664070283,49440,480,2204,7,59,11,265,131,7,75,83.55388348286033,70.25624999999984,-16.10636651713958,0,-5.500000000000001,-11.59999999999999,46.50399999999997,0,0,1
93.53172,480,97.242827,False,True,False,2,2412946043537042528,480,0,0,0,16.573166148558713,10.5,14.309727345911654,2532.0795180823934,2325.375,2217.659182663517,267.0083364143504,288.0,252.97460051960584,-1478.8604790337529,-286.0,-4471.1580371907785,633.0198795205984,581.34375,554.4147956658793,31200,480,2309,4,81,10,200,178,7,56,93.5318070054772,69.76124999999988,-14.677442994522782,0,-7.3,-10.999999999999993,56.74799999999996,0,0,1
89.22604,480,97.242827,False,True,False,3,789974133212406139,480,0,0,0,16.64979267671108,9.75,14.562517379097082,3283.0653742218046,2062.125,2435.7824209636406,299.20077684385757,237.0,176.5072803448023,-2294.1362675974383,-280.5,-266.5220020299807,820.7663435554512,515.53125,608.9456052409101,32160,480,1924,0,78,31,220,144,7,161,89.22600253169428,61.86374999999978,-9.14974746830585,0,-6.299999999999998,-5.400000000000002,48.21200000000004,0,0,1
109.175964,480,97.242827,False,True,False,4,8698157313321341862,480,0,0,0,15.71567586140714,10.5,14.744999500510179,2532.780310059592,2882.25,2685.3406511975436,225.10283606911455,169.5,172.37235756064916,-4821.777543318628,-152.5,-323.0953624147237,633.195077514898,720.5625,671.3351627993859,37440,480,2055,4,34,15,319,103,5,36,109.17595599279903,86.46749999999946,-9.967544007200484,0,-3.1000000000000005,-6.200000000000003,41.97599999999995,0,0,1
126.00902,480,97.242827,False,True,False,5,7424841456459477715,480,0,0,0,16.024218975036728,11.25,15.558886157502998,4025.435416012042,3720.5,3419.8576827532906,278.19571676590425,253.5,279.64305919434616,-860.8072396408918,-218.5,-704.7912173608084,1006.3588540030105,930.125,854.9644206883227,20160,480,1377,1,60,21,236,155,7,94,126.0089682604468,111.61500000000021,-9.178031739553312,0,-5.499999999999998,-18.199999999999967,47.27199999999996,0,0,1
147.0017,480,97.242827,False,True,False,6,4963690030598406526,480,0,0,0,16.363492090050396,10.875,15.458214658524186,3700.637013476119,4345.125,3723.513198339396,304.46723792471556,120.0,204.3459461908085,-39251.6593104384,-79.5,-2356.333901272332,925.1592533690298,1086.28125,930.878299584849,16800,480,1131,0,17,19,364,80,0,103,147.00160714650133,130.35375,-3.000142853498721,0,-2.1000000000000005,-10.799999999999994,32.54799999999998,0,0,1
101.48681,480,97.242827,False,True,False,7,5765488047046174020,480,0,0,0,15.79899909457173,10.875,13.945188302937915,2315.5778381518353,2590.25,2082.3835227729114,270.34353537723615,228.0,197.39661685179445,-894.1127513764969,-255.0,-443.37788481271787,578.8944595379588,647.5625,520.5958806932279,43200,480,2663,3,66,24,241,140,6,67,101.48687951541595,77.70749999999988,-11.84862048458373,0,-2.4000000000000004,-12.799999999999986,50.828,0,0,1
114.01834,480,97.243327,False,True,False,8,3015786952870474233,480,0,0,0,16.193254942209872,10.5,14.617550451811296,2911.030079789364,3217.5,2735.0856453150363,254.39833308915968,162.0,202.555154459774,-741.3696495948956,-174.0,-393.35674834162586,727.757519947341,804.375,683.7714113287591,32160,480,2571,0,41,34,300,102,3,0,114.01833911034504,96.52499999999984,-5.566660889654828,0,-1.8000000000000003,-20.59999999999996,45.459999999999965,0,0,1
120.91614,480,97.243327,False,True,False,9,8026632172992807823,480,0,0,0,10.128102212612047,9.375,8.268027157666511,2780.782031331523,2658.75,2629.419736953293,57.9823073868905,189.0,58.095900465140744,-34.09185785797691,-157.5,-31.837066613679013,695.1955078328807,664.6875,657.3549342383233,22080,480,1484,0,52,1,304,120,3,0,120.91610317905709,79.76250000000033,-6.062396820942901,0,-12.90000000000001,0,60.11599999999992,0,0,1
107.43431,480,97.243327,False,True,False,10,8817559435777250507,480,0,0,0,16.630901399531194,10.5,14.671223834420971,2653.2353642945172,2981.25,1948.9795169807212,251.65269493307554,262.5,224.18182200648317,-8662.198634597706,-250.0,-793.3826866655423,663.3088410736293,745.3125,487.2448792451803,32160,480,2724,1,67,28,217,159,8,49,107.4343412767247,89.4375,-9.939158723275384,0,-5.499999999999999,-17.999999999999968,51.43599999999996,0,0,1
86.49638,480,97.243327,False,True,False,11,1185850812994184742,480,0,0,0,16.100478766939936,9.375,14.736302722303504,4546.841523346584,3089.625,2882.3626896437668,295.7155983051512,241.5,258.41769599294184,-8027.624830936274,-255.0,-447.594303446114,1136.710380836646,772.40625,720.5906724109417,18240,480,1097,12,51,12,263,123,19,118,86.49637338159269,92.68874999999994,-22.608376618407377,0,-10.499999999999996,-16.399999999999974,43.31599999999993,0,0,1
129.25633,480,97.243327,False,True,False,12,2313447293076694939,480,0,0,0,16.02165159192015,10.5,15.981533620942413,3008.886712278075,3723.375,3166.960175827801,299.1467807703405,226.5,307.42082642646227,-1623.0874316190063,-224.0,-2759.690015813178,752.2216780695187,930.84375,791.7400439569502,45600,480,1720,2,52,36,243,143,4,95,129.25636544670436,111.70125000000007,-9.732884553295673,0,-6.799999999999999,-14.59999999999998,48.68799999999994,0,0,1
85.810394,480,97.243327,False,True,False,13,7976349881628269149,480,0,0,0,16.665966495037267,10.125,15.154625851198128,2151.5815683284245,2071.875,1518.6408630082892,241.89000607805752,253.5,222.67311099995473,-1897.182550427028,-277.0,-1181.3117547007091,537.8953920821061,517.96875,379.6602157520723,48480,480,4621,4,76,14,228,147,11,64,85.81048232915875,62.15624999999984,-14.113767670841352,0,-5.199999999999999,-13.399999999999984,56.36799999999995,0,0,1
77.41516,480,97.243327,False,True,False,14,7664468306534606621,480,0,0,0,16.137615875625723,10.5,15.303491778812983,2448.288541352751,1423.625,1875.5693533249012,269.5060467310211,202.5,140.42226832875315,-2509.1736160049472,-225.5,-228.71132640139155,612.0721353381878,355.90625,468.8923383312253,55680,480,2823,2,55,31,260,129,3,23,77.415266600406,42.70874999999991,-9.525483399593886,0,-2.3000000000000003,-9.799999999999997,56.331999999999915,0,0,1
72.228035,480,97.243327,False,True,False,15,6389429808806385535,480,0,0,0,16.222641940632833,10.5,15.015741959064522,2233.6081644667765,1695.375,1788.8330124981258,248.2784382962892,225.0,154.00472270933997,-1787.920909095043,-243.0,-230.7924044393168,558.4020411166941,423.84375,447.20825312453144,46560,480,3729,0,70,22,241,144,3,46,72.22806097292124,50.86124999999989,-8.145189027078704,0,-5.399999999999999,-23.799999999999947,58.711999999999954,0,0,1
64.42411,480,97.243327,False,True,False,16,5228884918942040224,480,0,0,0,15.915713903555412,10.875,14.08095350512786,2627.3567728157427,1673.375,1788.0644726008497,320.45072559779464,324.0,314.6907754638302,-1874.1763722674214,-333.0,-1022.0135931336325,656.8391932039357,418.34375,447.01611815021244,30240,480,4279,6,83,28,165,180,18,188,64.424121580528,50.20125000000003,-18.493128419472118,0,-5.700000000000001,-27.799999999999933,66.21599999999997,0,0,1
111.47029,480,97.243327,False,True,False,17,7794439212943009336,480,0,0,0,16.66414724846138,10.125,15.002083752309904,3974.206884142393,2941.375,2929.08014332913,274.21060515124617,199.5,307.88684865024084,-1041.5045237343893,-172.0,-343.5211153837434,993.5517210355982,735.34375,732.2700358322825,23040,480,1693,4,44,8,300,115,9,196,111.47028463656211,88.24125000000016,-11.038965363437795,0,-4.900000000000001,-12.799999999999986,51.967999999999954,0,0,1
130.78459,480,97.243327,False,True,False,18,3682945665956147689,480,0,0,0,16.664490082015337,10.875,16.15535390407893,3318.6140894068553,3937.875,3438.3695850939002,307.918751743202,226.5,299.4821811248128,-1739.1089516984146,-201.0,-1484.802679423842,829.6535223517138,984.46875,859.5923962734751,35520,480,1133,0,57,20,257,141,5,18,130.7844823291585,118.13624999999986,-7.283767670841389,0,-5.399999999999999,-12.199999999999989,37.53199999999993,0,0,1
106.01853,480,97.243828,False,True,False,19,3877310029415951002,480,0,0,0,16.28878769547895,10.125,14.023516657181974,3415.378019424456,3159.875,2913.653316138231,281.1029457301677,169.5,229.18275650954556,-24405.543265100252,-172.5,-728.5174349999527,853.844504856114,789.96875,728.4133290345577,37920,480,2121,3,42,17,307,109,2,51,106.01843182282016,94.79625000000027,-9.193818177180221,0,-3.8999999999999995,-10.599999999999994,34.91599999999997,0,0,1
131.78285,480,97.243828,False,True,False,20,2583244801918194876,480,0,0,0,10.125,10.125,9.855411499999468,2831.7066900199784,2820.375,2778.1779831287363,52.054604606878414,171.0,79.59751207570105,-27.752004387064957,-145.5,-47.305277898816136,707.9266725049946,705.09375,694.5444957821841,23040,480,1433,0,48,1,321,106,4,0,131.78283297652158,84.61125000000004,-5.596417023478429,0,-8.7,0,61.46800000000014,0,0,1
86.129234,480,97.243828,False,True,False,21,7204538126194488376,480,0,0,0,16.23107042023223,10.125,13.615958912875758,2504.0323720353294,1913.75,1541.2533091335097,230.78712042796266,214.5,192.989006530682,-1038.1779013928274,-223.5,-233.24028573836742,626.0080930088324,478.4375,385.3133272833774,55200,480,2898,3,55,25,262,127,8,117,86.12929077038558,57.41249999999999,-10.999209229614229,0,-5.4,-6.200000000000003,51.316,0,0,1
75.2595,480,97.243828,False,True,False,22,3378953895584212157,480,0,0,0,16.621172164765646,11.0,15.077722533057505,2560.2710464097145,2013.25,2145.909815479787,283.53849057730935,312.0,338.8079460289102,-4834.3290868256245,-351.5,-4199.681426496455,640.0677616024286,503.3125,536.4774538699468,42240,480,3426,8,90,17,171,180,14,99,75.25949856425,60.39750000000008,-21.042001435749977,0,-7.4,-13.799999999999983,57.103999999999914,0,0,1
135.88396,480,97.243828,False,True,False,23,6400402971583623193,480,0,0,0,11.609148399985246,10.125,9.756704205972614,3717.373091376716,3671.25,3646.0538733214707,60.684009709652535,229.5,71.21289635221771,-28.3226625970791,-204.0,-32.27795544625368,929.343272844179,917.8125,911.5134683303677,20160,480,1182,0,66,4,259,149,2,0,135.88400649913845,110.13750000000019,-7.557493500861695,0,-17.40000000000002,0,50.704000000000114,0,0,1
112.47552,480,191.767696,False,True,False,0,2488343231644625808,480,0,0,0,16.659427911303194,10.125,13.540196447850445,2815.9237820896933,3094.5,2576.071890827047,260.0368551891527,246.0,172.36900329995245,-762.4902057410192,-227.0,-653.0457726048236,703.9809455224233,773.625,644.0179727067617,40320,480,2265,2,64,14,245,146,9,137,112.47551660040595,92.83499999999945,-10.575483399593887,0,-6.499999999999999,-11.59999999999999,48.31599999999994,0,0,1
106.97934,480,191.767696,False,True,False,1,8766480278738261042,480,0,0,0,16.177558975452776,10.875,15.344243644144983,3138.4559548197094,3145.5,2818.2914783681235,303.41226331485444,265.5,207.1469679522302,-1161.6849564018958,-258.5,-331.15642657379027,784.6139887049274,786.375,704.5728695920309,30720,480,1957,5,68,13,221,169,4,122,106.97926263296176,94.3650000000001,-14.717737367038037,0,-7.999999999999999,-13.999999999999982,49.33199999999993,0,0,1
108.66175,480,191.767696,False,True,False,2,2753094865414633649,480,0,0,0,15.285069849546213,10.5,15.044378131962912,2040.403748875249,2640.875,2720.986426483928,260.4707899344402,217.5,195.95653540633597,-1472.6814749303803,-215.5,-906.7813653792128,510.10093721881225,660.21875,680.246606620982,39840,480,1795,1,64,11,269,125,10,60,108.66158911034526,79.22625000000014,-8.936660889654855,0,-3.3999999999999995,-10.999999999999993,52.77199999999999,0,0,1
147.0994,480,191.767696,False,True,False,3,2184191404571879930,480,0,0,0,16.198597706696514,10.5,15.48163111430042,4758.178201556785,4279.875,3674.334405611284,327.9369800402388,109.5,188.8292406256706,-5992.635087720856,-70.5,-5523.2189499150745,1189.5445503891963,1069.96875,918.583601402821,16800,480,543,0,16,15,376,73,0,66,147.09923413022327,128.39624999999978,-2.729015869776642,0,-1.5000000000000002,-11.199999999999992,34.13199999999994,0,0,1
114.80957,480,191.767696,False,True,False,4,4716164252301366489,480,0,0,0,16.074953265447373,10.5,15.323216467910802,3424.592529110699,3235.5,2809.710631962924,334.8320875503767,288.0,278.4818356936247,-4096.531300878228,-261.0,-347.66895121871386,856.1481322776748,808.875,702.427657990731,26400,480,1971,3,75,10,207,178,7,129,114.80955700547733,97.06500000000013,-12.987442994522818,0,-6.599999999999998,-15.399999999999977,52.73199999999993,0,0,1
83.00478,480,191.767696,False,True,False,5,7451938487489940729,480,0,0,0,16.568519487899085,10.5,15.967416871733041,2584.424131745739,1545.75,2273.665724052327,245.86307729134012,273.0,222.1823584481563,-165313.5129189671,-279.5,-515.4695957343811,646.1060329364348,386.4375,568.4164310130817,43200,480,2949,2,75,27,197,176,3,43,83.00479293676523,46.372500000000024,-11.711707063234735,0,-2.3000000000000003,-6.400000000000003,57.04399999999989,0,0,1
140.53252,480,191.767696,False,True,False,6,3166114941703161967,480,0,0,0,16.66198446168701,10.5,16.373248599048058,3842.3833579126235,4222.875,3514.151196454195,301.61257560448047,97.5,187.83017160700444,-5442.749635860477,-60.0,-160.31290888634555,960.5958394781559,1055.71875,878.5377991135488,15360,480,456,0,14,12,393,57,4,154,140.5326352839251,126.68625000000011,-2.5216147160748665,0,-1.8000000000000003,-12.199999999999989,30.367999999999967,0,0,1
68.37997,480,191.768196,False,True,False,7,8275336682942969161,480,0,0,0,16.55211137077832,10.875,13.179558069460079,2451.303296418064,1873.0,1633.528544990989,253.17789131132002,294.0,308.2554076766505,-10356.426214055684,-303.5,-3623.1257251905095,612.825824104516,468.25,408.38213624774727,51360,480,4013,8,71,23,193,174,11,67,68.37999856425,56.190000000000005,-19.502001435750003,0,-7.700000000000001,-24.999999999999943,64.39199999999997,0,0,1
