#{"t_start": 1679306956.1470425, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation
-35.131786,184,37.54132,True,False,False,19,3877310029415951002,184,1,0,1,14.574548274969855,5.5625,12.273154389071458,1173.967791784268,575.4375,1018.9692436873178,247.96321395683898,205.5,226.03768050938905,-72.79338687669187,-168.0,-75.2302182814121,48.915324657677864,23.976562500000014,42.457051820304955,14536,184,1190,0,56,0,50,19,59,0,-35.13178462032169,17.263125000000002,-8.39740115370179,-41.875,0,0,31.59356843177163,0
-34.24392,256,51.976921,True,False,False,10,8817559435777250507,256,1,0,1,14.752177660802232,9.125,11.482900955969088,1503.7363705290807,1418.9375,1219.1852194327694,228.98274153533885,231.0,215.42418866573627,-71.98805659361594,-192.0,-270.2531141867013,62.65568210537849,59.12239583333332,50.79938414303208,17152,256,1461,0,64,0,111,8,73,0,-34.24391747867122,42.56812500000002,-9.736274169979716,-43.9,0,-17.79999999999997,42.90464429795236,0
-117.36315,282,57.245781,True,False,False,12,2313447293076694939,282,1,0,1,15.993785168699773,9.8125,15.96650752993874,1827.6437017050555,2122.3125,2144.741857507642,266.2038723011955,235.5,276.79931577443534,-131.50545766677243,0,-95.47207029969503,76.15182090437726,88.42968750000009,89.36424406281836,26790,282,1088,0,0,0,202,3,77,0,-117.36314597397478,63.66937499999979,-5.444852813742388,-130.97500000000002,0,-11.199999999999992,34.64660196989391,0
-19.39293,590,119.232682,True,False,False,1,4720721261117928062,590,1,0,1,15.661988465800162,7.4375,11.795017611486962,3443.5079767560887,2360.8125,2264.2605671023207,326.9802146851338,442.5,477.09116551564875,-1269.0995468057229,-402.0,-338.3911335184249,143.47949903150342,98.36718749999997,94.3441902959292,60770,590,4602,0,134,0,285,47,124,0,-19.392923779872806,70.82437500000017,-18.919360748630773,-43.224999999999994,0,-9.599999999999998,100.68744306939398,0
-93.96989,724,146.601851,True,False,False,8,3015786952870474233,724,1,1,0,16.06108471496542,10.125,13.864346549406765,4185.805802814132,6685.8125,5261.287360551879,443.7471480799052,249.0,355.3187378686681,-442.16693265592227,-6.0,-114.50533639130715,174.4085751172579,278.57552083333405,219.2203066896618,48508,724,981,0,2,0,636,6,80,75,-93.96993840610943,200.57437500000142,-5.849705627484775,-133.0,0,-11.99999999999999,51.45570019082751,0
-9.155352,772,156.379806,True,False,False,5,7424841456459477715,772,1,0,1,15.892095769344708,9.625,13.768341666266352,6914.75845597141,5365.0,4174.871904696049,557.7026338053529,376.5,577.1896100636474,-1368.9910444947582,-324.0,-2034.967775487835,288.114935665477,223.5416666666666,173.95299602900212,32424,772,2539,0,108,0,520,37,107,178,-9.15540469594233,160.94999999999945,-15.726518036156122,-47.275,0,-37.39999999999999,120.89408986050277,0
-6.890128,979,198.038025,True,False,False,4,8698157313321341862,979,1,0,1,15.326246958303951,8.75,15.275841073852046,5656.457452643654,3921.625,4348.794650172927,503.14876976085156,474.0,479.9714864177794,-31041.80252594649,-429.0,-1192.5222683509048,235.68572719348592,163.4010416666663,181.19977709053822,76362,979,4292,0,143,0,643,70,123,25,-6.890139394104608,117.64875000000016,-19.89989898732238,-43.9,0,-12.599999999999987,136.9103126226946,0
6.075934,982,198.768783,True,False,False,17,7794439212943009336,982,1,0,1,16.401301918178806,8.25,13.619459563063545,7974.847943358046,5204.3125,6713.457136000579,637.6945619232549,348.0,560.8678029932132,-2812.910733493732,-318.0,-530.9259880455505,332.2853309732537,216.84635416666796,279.7273806666914,47136,982,3294,0,106,0,726,68,82,149,6.0759440056568295,156.12937500000066,-14.403330444827432,-38.5,0,-4.200000000000001,129.9296194787684,0
-71.28023,993,201.030081,True,False,False,6,4963690030598406526,993,1,0,1,16.328120967082796,9.875,15.069289725130556,8304.485594665704,7471.8125,7647.677806189984,676.668428994568,517.5,534.170161292118,-1885.3427106324782,-303.0,-2559.7592523322164,346.02023311106626,311.32552083333286,318.6532419245821,34755,993,4629,0,101,0,708,23,161,308,-71.28021879854936,224.1543749999994,-18.760538238691677,-121.52499999999999,0,-29.399999999999928,125.47485044739615,0
-32.80275,279,203.166336,True,False,False,8,9106021629477276091,279,1,0,1,15.339787781727907,7.375,15.339787781727907,1567.7749007296138,1367.75,1518.3861501105137,242.13768168820744,226.5,225.96900047778684,-144.94517558994295,-183.0,-170.38419293440455,65.32395419706751,56.989583333333385,63.266089587937905,26505,279,901,0,61,0,131,23,64,0,-32.802752752482114,41.032500000000034,-9.170538238691645,-44.575,0,0,38.771521723798955,0
-49.141453,1326,267.260982,True,False,False,22,3378953895584212157,1326,1,0,1,16.2144545540045,7.3125,13.314012970523647,7620.096003552912,3797.4375,5466.176450003753,834.1024971689178,907.5,922.8748920625108,-3075.14562637087,-783.0,-1027.7163646451565,317.50400014804734,158.22656249999952,227.7573520834869,116688,1326,12142,0,261,0,669,187,209,225,-49.14147130274314,113.92312499999971,-36.31915872327558,-82.37500000000001,0,-90.40000000000074,212.19720590681757,0
-58.26036,1362,274.104399,True,False,False,11,1185850812994184742,1362,1,0,1,15.483554506513896,10.3125,14.42087334446135,13192.671208838126,10029.6875,9230.963095858579,845.9147518845067,472.5,905.4278383284991,-1351.3039406775245,-252.0,-1335.491356773513,549.6946337015845,417.9036458333324,384.62346232744136,51756,1362,4465,0,84,0,1079,83,116,191,-58.260467442711416,300.8906250000011,-15.517594513539384,-124.22500000000001,0,-66.80000000000041,177.2141648572711,0
-33.358093,1378,277.468087,True,False,False,13,7976349881628269149,1378,1,0,1,15.537535175314062,9.6875,13.998275519799702,7506.589091349562,7773.5625,4852.653096799413,746.3668533104163,718.5,750.1790667020412,-1195.0154936724086,-564.0,-2437.5199179101937,312.7745454729083,323.8984375000014,202.19387903330923,139178,1378,11900,0,188,0,884,133,173,0,-33.358088859902246,233.2068750000017,-27.701808075912567,-93.85,0,-30.199999999999925,187.64639991649946,0
-12.599534,500,305.313425,True,False,False,8,2939588635529854450,500,1,0,1,13.678722217054496,5.9375,12.770237190650205,2709.43224980911,1804.0,2239.2438196303997,313.74399671235017,220.5,225.7141224253969,-357.3121752209449,-198.0,-176.3409821330212,112.89301040871263,75.1666666666669,93.30182581793312,39000,500,2510,0,66,0,341,39,54,0,-12.599536798521235,54.119999999999884,-9.11308657865103,-34.45,0,0,86.09586578752364,0
-33.067738,2078,435.686986,True,False,False,18,3682945665956147689,2078,1,0,1,16.64924439056274,10.9375,15.518279802595487,14813.984233929215,18831.0,15034.017604120352,1244.2113468832558,565.5,1164.0850978466667,-192662.019663296,-309.0,-1119079.4356370545,617.2493430803692,784.6249999999956,626.4174001716816,153772,2078,4613,0,103,0,1774,25,176,250,-33.067426942186174,564.9300000000031,-19.987106781186633,-140.425,0,-46.60000000000012,145.80254512807906,0
-2.0502787,1989,475.243962,True,False,False,10,1915526599647388319,1989,1,0,1,15.75534906720826,8.6875,13.552956055724763,10450.14206309768,5348.8125,7199.282743926419,910.1028719608969,1123.5,977.0524802909143,-1457.2901130192747,-1020.0,-1298.3493723007314,435.42258596240123,222.86718750000034,299.9701143302689,163098,1989,16372,0,340,0,1161,227,261,182,-2.049984705947537,160.464375,-46.22052957317396,-70.225,0,-13.199999999999985,308.0062463374865,0
52.89125,2452,522.413627,True,False,False,2,2412946043537042528,2452,1,0,1,16.410021756355906,10.25,13.624896368973685,14655.718795655397,11253.8125,12238.929409423978,1250.8379827670778,921.0,894.1854675509127,-4852.625462211014,-879.0,-18045.89051202054,610.6549498189481,468.90885416666964,509.95539205932874,159380,2452,12137,0,293,0,1810,84,265,60,52.891187247603376,337.6143749999997,-40.59587878478691,-43.9,0,-28.79999999999993,312.5286272704076,0
60.986,2518,578.610482,True,False,False,19,8539637424763437424,2518,1,0,1,16.434863236733236,10.3125,14.312262979554909,14306.066033235791,10884.875,9568.265374912755,1279.8628395328665,1774.5,1264.0878368889876,-2623.532904733774,-1767.0,-1941.236509874868,596.0860847181444,453.5364583333303,398.6777239547013,266908,2518,21504,0,589,0,1273,129,527,124,60.985994144527695,326.5462499999957,-80.47867099092116,-28.375,0,-101.0000000000009,391.0983858580879,0
-13.571138,1349,609.897536,True,False,False,8,7273080204334047138,1349,1,0,1,15.878721103269376,6.75,15.209818209493205,7606.547232273777,3473.5625,5569.090889962053,803.2037665111067,868.5,755.3396281618404,-2226.92639285054,-807.0,-3510.13387423213,316.9394680114022,144.73177083333275,232.04545374841953,111967,1349,10447,0,269,0,716,149,215,41,-13.571155047195035,104.20687499999995,-36.60435641587195,-58.075,0,-23.799999999999947,223.22055113270093,0
147.07323,2880,615.406982,False,True,False,0,5874934615388537134,2880,0,0,0,16.26514780883636,10.4375,15.838155721809699,19561.194751121777,24341.8125,18664.494357481704,1445.5784140544054,727.5,1216.401749367755,-71044.62782259076,-603.0,-3581.01134056001,815.0497812967127,1014.2421875000249,777.6872648950699,204480,2880,12200,0,201,0,2403,67,209,156,147.0735570589151,730.2543750000203,-29.92504617358011,0,0,-96.60000000000083,278.71201352706595,0
144.49858,2880,615.406982,False,True,False,3,789974133212406139,2880,0,0,0,15.76942515869331,10.3125,15.02605156625833,14690.535698075135,22398.5625,13201.56186339739,1268.060662244083,901.5,1003.3505809085782,-76078.56527031904,-654.0,-3074.9110140022394,612.105654086444,933.2734374999898,550.0650776415544,192960,2880,11429,0,218,0,2323,77,262,715,144.49879494602186,671.9568750000196,-35.00788888605472,0,0,-88.40000000000072,318.4437835621967,0
135.49686,2880,615.406982,False,True,False,7,5765488047046174020,2880,0,0,0,16.538829967080037,10.375,15.981445074933392,16079.633710776465,18923.875,17709.35058571381,1690.1157435635469,933.0,2062.846428136781,-11582.17460727096,-849.0,-2882.4351111982,669.9847379490062,788.4947916666475,737.8896077380771,259200,2880,13870,0,283,0,2225,122,250,544,135.49674388999375,567.7162499999976,-39.54068109219053,0,0,-107.40000000000099,392.2048944321522,0
164.96983,2880,615.407483,False,True,False,9,8026632172992807823,2880,0,0,0,10.147111424435986,7.875,8.115734439547625,18006.979744419146,17311.75,17282.281472468105,285.7207256080047,261.0,241.54791944187346,-133.17531662991846,-105.0,-81.24577255600086,750.2908226841703,721.3229166666678,720.0950613528404,132480,2880,10758,0,35,0,2716,84,45,0,164.9696900908462,519.352500000022,-7.135878784786812,0,0,0,477.60151932986736,0
107.0354,2880,615.407483,False,True,False,14,7664468306534606621,2880,0,0,0,16.369177565585602,10.375,14.267261541869571,14702.344388968122,13193.5,12618.923614077461,1424.0355380731473,1605.0,1466.6227278562926,-15599.17345321015,-1464.0,-11192.122983917623,612.5976828736755,549.7291666666707,525.7884839198921,334080,2880,24647,0,488,0,1780,154,458,216,107.03540200829578,395.8049999999991,-69.03577777210879,0,0,-91.00000000000075,406.4431898218802,0
