#{"t_start": 1681330209.3305433, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
-27.574825,235,43.030906,True,False,False,19,3877310029415951002,235,1,0,1,14.576424616336684,4.375,13.031045319826365,1599.4640589709852,575.125,1321.4825553473765,265.8790916418978,132.0,233.3194056447574,-184.27827934101452,-108.0,-114.95446626402334,66.64433579045749,23.963541666666664,55.06177313947412,18565,235,1554,0,25,22,122,44,22,0,-27.574835317055424,17.25375,-4.496761902332483,-36.475,0,0,40.64399999999994,0,0,1
-12.361452,637,119.451609,True,False,False,21,7204538126194488376,637,1,0,1,14.986012006619877,5.5625,11.589330450621183,3834.5053199268536,2679.9375,2720.603623952083,380.14185561124617,328.5,305.88401057352667,-569.6255743258338,-300.0,-362.2875175338949,159.77105499695105,111.6640624999996,113.35848433133665,73255,637,3032,0,24,152,303,97,61,52,-12.361443090103005,80.39812499999971,-10.502783540618033,-38.5,0,-15.399999999999977,102.3360000000001,0,0,1
-23.715889,656,123.222933,True,False,False,1,4720721261117928062,656,1,0,1,15.661988465800162,6.125,12.90821741146192,3789.9480930557406,2382.4375,2584.2024957923554,335.98357002129126,346.5,527.7445286764486,-1341.7994712046366,-292.5,-302.7592120198822,157.9145038773221,99.2682291666672,107.67510399134851,67568,656,4963,0,40,115,340,91,70,0,-23.715905812829547,71.47312499999961,-11.466559876977128,-49.974999999999994,0,-11.199999999999992,108.74800000000013,0,0,1
-64.576485,888,166.372364,True,False,False,7,5765488047046174020,888,1,0,1,15.816201912349731,7.375,14.121725047366533,4993.578490099017,4137.0,5255.714496777775,568.8749780156088,648.0,669.6258873299626,-727.458123417596,-487.5,-993.7884298988727,208.06577042079073,172.37500000000065,218.98810403240742,79920,888,4555,0,39,247,336,100,166,57,-64.57644035381159,124.11000000000008,-20.694642122869343,-97.225,0,-31.79999999999992,124.27599999999997,0,0,1
-42.483856,1240,232.730368,True,False,False,22,3378953895584212157,1240,1,0,1,15.92096540237852,6.0625,13.935004189709714,7282.4693395396735,5074.5,6953.858327033765,768.1169600971945,729.0,1053.088716341856,-15040.960497311178,-592.5,-1432.833954926999,303.43622248080914,211.43750000000065,289.74409695974185,109120,1240,7377,0,70,255,584,176,155,450,-42.48392015127606,152.23500000000047,-23.630520907656265,-87.1,0,-50.400000000000176,189.49199999999908,0,0,1
-20.533293,1541,293.506653,True,False,False,5,7424841456459477715,1541,1,0,1,16.38775922400252,7.1875,14.24342657356767,14111.55652674524,8731.5625,8197.769491566803,886.2016190421024,1066.5,944.899989426222,-896822.2575715873,-943.5,-3678.495269623914,587.9815219477116,363.8151041666664,341.5737288152834,64722,1541,5311,0,0,629,419,275,218,346,-20.533351034617603,261.94687499999924,-31.788981207706055,-81.025,0,-66.2000000000004,198.9919999999996,0,0,1
27.0037,1834,350.482605,True,False,False,14,7664468306534606621,1834,1,0,1,16.06013207204948,6.25,15.55184253800371,9679.38740157706,2346.8125,4772.858668599084,995.2896691376492,348.0,409.3026150172673,-12039.579385038542,-480.0,-599.9892780304567,403.30780839902684,97.78385416666409,198.8691111916287,212744,1834,15323,0,135,50,1465,136,48,0,27.003916757995217,70.40437500000162,-16.21087445202791,-28.375,0,0,278.0799999999993,0,0,1
-37.294422,1124,384.748595,True,False,False,7,8275336682942969161,1124,1,0,1,16.515037872990707,7.0625,13.007464624922651,6276.754792204267,3405.0,5343.199402250923,620.9324587293283,526.5,682.7150579736731,-875.8029439948206,-415.5,-1501.3118295572397,261.5314496751719,141.8750000000008,222.633308427121,120268,1124,8386,0,58,161,656,147,102,0,-37.29459259070275,102.14999999999883,-16.83155554421829,-78.325,0,-24.999999999999943,185.8639999999985,0,0,1
17.411161,2297,434.976073,True,False,False,16,5228884918942040224,2297,1,0,1,15.963577587346442,7.25,14.48793936050613,13301.811985431139,11326.875,14692.02724831582,1459.2251095844442,1315.5,1429.36244799896,-19389.123522642803,-1227.0,-64187.802080743175,554.2421660596303,471.9531250000059,612.1678020131593,144711,2297,11791,0,36,746,1001,151,363,987,17.411209781837783,339.8062499999983,-44.33099130897308,-64.15,0,-80.80000000000061,274.69199999999813,0,0,1
8.856003,2318,438.611868,True,False,False,4,8698157313321341862,2318,1,0,1,15.975355027674144,7.375,14.581671440968169,14012.552093179645,7701.3125,11126.978060125093,1039.5680215809336,966.0,835.6059853823241,-305915.19222524256,-871.5,-1098.151515329458,583.8563372158279,320.88802083333223,463.6240858385427,180804,2318,12882,0,116,349,1423,216,214,19,8.856126957530051,231.0393750000014,-33.4306132548163,-66.85,0,-26.799999999999937,283.42800000000125,0,0,1
