#{"t_start": 1681316692.7811382, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
-82.85932,29,6.529645,True,False,False,16,5228884918942040224,29,1,0,1,13.57768632862801,10.5,12.623129353393669,162.1208881168126,189.375,169.21200957751904,38.357613051059694,42.0,48.854324219015396,-12.16636501221048,-21.0,-17.68321727666366,40.53022202920315,47.34375,42.30300239437976,1827,29,115,0,7,0,7,2,13,2,-82.85931854249492,5.681249999999999,-1.4365685424949246,-89.8,0,-1.4,4.096000000000002,0,0,1
-35.140137,29,6.529645,True,False,False,19,3877310029415951002,29,1,0,1,14.495659568999088,5.25,12.257773320786175,173.77206417753735,94.5,153.79706602266504,40.32065800080807,36.0,36.460517798281806,-10.370348870753698,-33.0,-10.162258484766664,43.443016044384336,23.625,38.44926650566626,2291,29,181,0,11,0,4,4,10,0,-35.14013708498985,2.835,-1.5431370849898485,-41.2,0,0,4.768000000000001,0,0,1
-67.89935,42,8.904561,True,False,False,10,8817559435777250507,42,1,0,1,14.49899916550186,9.75,11.53707289071629,231.8696503274982,239.25,195.00778595837482,38.497149329532284,46.5,34.3736608286684,-13.13686376405247,-30.0,-43.296551020480706,57.96741258187455,59.8125,48.751946489593706,2814,42,233,0,10,0,15,3,14,0,-67.89935281374238,7.177500000000003,-1.7348528137423866,-77.64999999999999,0,-2.8000000000000003,7.1080000000000005,0,0,1
-57.777546,77,15.833275,True,False,False,1,4720721261117928062,77,1,0,1,15.772374474179344,6.75,11.26090619833104,413.5616252926855,229.5,261.7058039736714,47.42350371908573,84.0,56.30816284006129,-55.11620222169648,-69.0,-40.6021459936492,103.39040632317138,57.375,65.42645099341784,7931,77,535,0,23,0,18,16,20,0,-57.77754833995939,6.884999999999995,-3.3025483399593876,-73.6,0,-1.0,13.239999999999995,0,0,1
-22.285944,85,17.619588,True,False,False,21,7204538126194488376,85,1,0,1,14.994457929711496,7.125,9.11463025603096,461.2609919936926,346.125,333.60797294817746,54.9612240286621,46.5,37.6829917712613,-161.44601701526614,-42.0,-25.968691990008963,115.31524799842315,86.53125,83.40199323704437,9775,85,378,0,14,0,49,13,9,10,-22.285945526217006,10.383750000000003,-1.8476955262170052,-45.25,0,0,14.428000000000013,0,0,1
-63.167637,90,18.770291,True,False,False,7,5765488047046174020,90,1,0,1,14.85039568816517,9.75,13.966987171933292,450.2524254680537,605.25,522.4555384249289,63.584861020748626,63.0,79.40118081108027,-75.11780312655166,-39.0,-193.4735152455051,112.56310636701342,151.3125,130.61388460623223,8100,90,431,0,13,0,54,4,19,0,-63.16763708498984,18.157500000000006,-2.3131370849898483,-89.8,0,-3.2000000000000006,13.987999999999998,0,0,1
-10.9553,114,23.346591,True,False,False,11,1185850812994184742,114,1,0,1,15.357368143652476,9.375,13.277703503241947,993.6634203566595,495.375,473.955786047923,91.72586370330386,46.5,78.82782653103243,-62.285338854229806,-42.0,-38.51372620557014,248.41585508916486,123.84375,118.48894651198076,4332,114,362,0,14,0,80,9,11,9,-10.955308441227153,14.861249999999979,-1.9145584412271583,-37.15,0,-3.400000000000001,16.64799999999999,0,0,1
-46.653347,131,26.833203,True,False,False,2,2412946043537042528,131,1,0,1,14.892126109978365,11.25,11.73204719868568,689.3780524708104,1103.25,768.3777138295823,79.28141012182049,82.5,81.38702096120099,-156.56506764146582,-57.0,-181.52938113207503,172.3445131177026,275.8125,192.09442845739557,8515,131,593,0,19,0,83,3,26,12,-46.65335281374236,33.09749999999998,-3.2048528137423844,-85.74999999999999,0,-4.400000000000001,13.603999999999997,0,0,1
-31.577166,143,29.451162,True,False,False,3,789974133212406139,143,1,0,1,15.994152753774088,9.375,11.417614385890325,882.0189567295142,934.875,905.4457037197392,100.30817690794291,73.5,55.65863021191048,-254.32442614503532,-57.0,-48.77995090042497,220.50473918237856,233.71875,226.3614259299348,9581,143,416,0,19,0,97,5,22,34,-31.57717135623728,28.046249999999972,-2.9614213562373086,-77.64999999999999,0,-1.2,22.18799999999998,0,0,1
-59.836494,69,30.250803,True,False,False,1,8766480278738261042,69,1,0,1,15.449924893829058,9.0,13.498465585116193,499.13812140228424,542.25,496.0178411782339,61.520031905362444,36.0,68.28032643572584,-80.53616362694422,-18.0,-42.974537828590314,124.78453035057106,135.5625,124.00446029455847,4416,69,318,0,6,0,51,0,12,10,-59.83649999999999,16.267499999999984,-1.2600000000000007,-81.69999999999999,0,-1.0,7.855999999999995,0,0,1
