#{"t_start": 1679835416.9900744, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
-122.27618,2085,408.494202,False,False,True,0,5874934615388537134,2085,0,0,0,16.654379757567405,13.958333333333334,14.40749873198708,13603.797867586054,13288.020833333609,11844.3570526889,1090.3032602695832,1455.0,1070.5878940809446,-3123.9884063927325,-4794.0,-4369.467812629473,566.8249111494098,553.6675347222249,493.5148771953667,148035,2085,7326,486,464,0,165,970,0,379,-122.27651968500632,398.64062499999824,-667.435743110033,0,-479.3999999999941,-54.20000000000023,68.73599999999996,0,1,1
-142.29773,2611,513.538862,False,False,True,3,789974133212406139,2611,0,0,0,16.645470831044793,12.9375,15.984930980500591,13521.662186900438,13811.270833333325,14549.19439915059,1207.6233200128438,2106.0,1362.1274880058788,-29424.8629447819,-5853.0,-2355.223568845986,563.4025911208394,575.4696180555558,606.2164332979395,174937,2611,13243,558,649,0,0,1404,0,1284,-142.29783197190676,414.3381250000004,-779.7611168314312,0,-585.3000000000035,-86.60000000000069,183.53599999999966,0,1,1
-124.9246,2880,568.394585,False,True,False,1,4720721261117928062,2880,0,0,0,16.26599879098915,12.125,14.56851780591801,15843.102084548247,10854.60416666675,10486.125131914805,1245.426085541939,2547.0,1445.3229717195638,-113433187.70473948,-5614.0,-6727.515819293451,660.1292535228604,452.27517361111177,436.92188049644835,296640,2880,22387,517,665,0,0,1698,0,41,-124.92476126303166,325.63812499999966,-734.1866925782069,0,-561.399999999996,-55.80000000000025,276.19999999999607,0,0,1
49.237408,2880,568.394585,False,True,False,2,2412946043537042528,2880,0,0,0,16.13802225853776,14.0,15.18871005874356,17886.82968156588,22027.624999999498,15360.718701203254,1526.750899053453,2770.5,1341.430309930199,-7892.585186853845,-2692.0,-9805.95291278221,745.2845700652695,917.8177083333161,640.0299458834716,187200,2880,12468,10,874,0,149,1847,0,222,49.23761683432298,660.8287499999982,-107.65104899406212,0,-269.2000000000043,-115.0000000000011,126.44800000000012,0,0,1
-46.556614,2880,568.394585,False,True,False,4,8698157313321341862,2880,0,0,0,16.491265357033544,14.0,15.525767990564976,17101.26327527404,19653.43750000001,16163.441535789078,1318.8376761336667,2634.0,1366.3435246717756,-121409.51776635324,-4689.0,-226036.03669811157,712.5526364697283,818.8932291666682,673.4767306578775,224640,2880,12450,363,716,0,45,1756,0,358,-46.55700921842368,589.6031250000007,-543.2371803105596,0,-468.9000000000027,-43.80000000000008,186.99200000000155,0,0,1
50.49132,2880,568.394585,False,True,False,5,7424841456459477715,2880,0,0,0,16.38741638062704,14.000000000000002,15.366835646650353,25939.47049034457,20461.645833333467,19991.06081156643,1752.9758143458425,2910.0,1464.8684189712892,-15322.959592625897,-2635.0,-8284.840478687815,1080.8112704310292,852.5685763888893,832.9608671485971,120960,2880,7873,16,841,0,83,1940,0,1157,50.49131479665393,613.8493749999997,-114.66148622007712,0,-263.5000000000042,-135.40000000000086,202.65999999999917,0,0,1
-53.38164,696,709.85987,True,False,False,5,7451938487489940729,696,1,0,1,15.830132634605146,7.375,15.698785385145275,4130.600663240636,2435.458333333333,3268.1321753148013,431.72507515141115,643.5,487.99154041458706,-85106.3248402662,-1269.0,-1053194.5040529245,172.10836096835826,101.47743055555554,136.17217397144998,62640,696,4527,117,150,0,0,429,0,0,-53.381700394193565,73.06374999999998,-166.93395236516196,-25.0,-126.8999999999999,-21.199999999999957,71.67999999999999,0,0,1
11.578549,2880,1000.587751,False,True,False,0,2488343231644625808,2880,0,0,0,16.665946473395252,13.979166666666668,14.885814930195654,16636.23643486044,17066.708333333143,14846.07030159283,1483.5606560612875,2787.0,1123.2724988119628,-393124.8985095982,-3473.0,-3306.1291877611347,693.1765181191978,711.1128472222128,618.5862625663724,241920,2880,15293,131,852,0,39,1858,0,244,11.578512337035871,512.0012499999993,-259.9821759777867,0,-347.30000000000314,-79.20000000000059,243.9519999999986,0,0,1
100.56103,2880,1100.266011,False,True,False,3,2184191404571879930,2880,0,0,0,16.207550390242847,14.000000000000002,15.235002521012259,29661.28596245463,27991.750000001204,18359.476960089443,1728.4812186191712,2397.0,1018.4429894777385,-6606.208740334586,-2068.0,-1511.7674187413445,1235.886915102281,1166.3229166666792,764.9782066703917,100800,2880,3633,4,680,0,598,1598,0,458,100.56103909109257,839.7525000000003,-81.89826545344427,0,-206.80000000000211,-86.00000000000068,138.3120000000003,0,0,1
84.540634,2880,1160.34011,False,True,False,1,8766480278738261042,2880,0,0,0,16.11604988298265,14.0,15.219169784156554,21665.055894787485,26743.937499999796,17939.58505862755,1805.6876406618471,2640.0,1765.5928302096581,-9206.114429488078,-2327.0,-4458.392650319315,902.7106622828446,1114.3307291666733,747.4827107761455,184320,2880,8156,44,673,0,403,1760,0,817,84.54063460074423,802.3181249999907,-135.1703173955334,0,-232.70000000000158,-89.80000000000074,162.5959999999998,0,0,1
-0.5625285,2880,1160.34011,False,True,False,2,2753094865414633649,2880,0,0,0,16.37146176596891,12.125,15.295518131668592,12758.659857665589,15541.416666666631,13124.495029411391,1390.926924815913,2859.0,1260.2020032179175,-74085.73471210977,-3498.0,-1708.9914837152448,531.6108274027281,647.5590277777786,546.8539595588068,239040,2880,20757,144,830,0,0,1906,0,225,-0.5625534996103855,466.24249999999824,-275.8298209976642,0,-349.80000000000257,-132.60000000000102,288.6119999999954,0,0,1
27.576733,2880,1160.34011,False,True,False,4,4716164252301366489,2880,0,0,0,15.95834909824217,14.000000000000002,15.201294227480798,24404.72204195749,20904.35416666685,19888.98475853056,1872.4159777879245,2815.5,1567.256004299157,-3289025716.9865932,-3257.0,-9977.306162184686,1016.8634184149109,871.0147569444484,828.7076982721101,158400,2880,7529,77,906,0,20,1877,0,938,27.576841311419322,627.1306249999993,-195.52957713148697,0,-325.7000000000039,-120.40000000000117,179.95999999999978,0,0,1
7.965512,2880,1325.153852,False,True,False,5,4753039369592592095,2880,0,0,0,16.050603847793525,13.958333333333334,14.318341869652235,16048.618208899015,19552.604166666573,12538.194963442345,1329.6971990544187,2560.5,983.2712879730193,-72230.13627609352,-3557.0,-2276.6708295530498,668.6924253708,814.6918402777616,522.4247901434289,230400,2880,16296,182,761,0,230,1707,0,113,7.965478996763715,586.5781249999991,-315.62125101941893,0,-355.70000000000203,-58.20000000000029,190.73599999999965,0,0,1
-280.86005,1114,1426.111068,False,False,True,4,9004258896379922272,1114,0,0,0,16.644224474450834,5.5625,16.499564095103484,4654.500125738066,803.7291666666666,2688.1621987547687,438.1788061746772,366.0,505.0612558148501,-688.7317550798093,-5814.0,-443.0854741975071,193.93750523908793,33.488715277777786,112.00675828144757,90234,1114,13574,801,69,0,0,244,0,424,-280.8615811974015,24.11187500000001,-1026.561362184371,0,-581.3999999999994,-144.40000000000035,43.080000000000055,0,1,1
-360.26523,1905,1616.974116,False,False,True,1,1329637740802083942,1905,0,0,0,16.660885806704123,8.0,13.352874653672629,9740.86333789772,1853.1666666666683,4519.070938631598,980.3323521111498,906.0,789.2970126625122,-3351.009591944667,-8463.0,-838.6583742002898,405.8693057457619,77.21527777777777,188.29462244298412,180975,1905,17534,1140,161,0,0,604,0,0,-360.2617833055783,55.595000000000006,-1470.1136998334543,0,-846.300000000017,-4.800000000000002,104.04800000000051,0,1,1
-11.296224,2880,1657.502527,False,True,False,0,377914054924498011,2880,0,0,0,16.3556191018015,13.958333333333334,15.32450510295505,15363.31932018972,18037.000000000244,14012.69986371231,1406.6994721146175,2710.5,1381.4976607705416,-3805.134439724356,-3844.0,-4415.104940683294,640.1383050079012,751.5416666666586,583.8624943213421,279360,2880,16622,217,775,0,81,1807,0,124,-11.296279690693869,541.1099999999982,-362.8796781441649,0,-384.40000000000083,-86.20000000000068,224.59199999999794,0,0,1
-33.485924,2880,1780.169947,False,True,False,3,7390452496230446618,2880,0,0,0,16.218998144921873,13.625,16.12853585757182,24217.40016219348,17698.083333333332,17607.57095670136,1505.3637708168653,2796.0,1154.9718281246644,-39829.04137536372,-4272.0,-3595.0785233097436,1009.0583400913913,737.4201388888889,733.6487898625574,152640,2880,10981,306,710,0,0,1864,0,391,-33.48589693421151,530.9425000000002,-472.4018816052711,0,-427.2000000000055,-66.6000000000004,234.34399999999889,0,0,1
36.04415,2880,1840.148174,False,True,False,2,7509906927484655758,2880,0,0,0,15.015721545767056,14.0,13.692582258826008,23359.297101600325,22572.687500001168,17990.63776136529,1469.1356232153619,2806.5,1436.6555835654049,-137453.32223662818,-3167.0,-1242901.3680855862,973.3040459000107,940.5286458333419,749.6099067235572,149760,2880,8966,104,813,0,92,1871,0,823,36.044125582666815,677.1806249999963,-223.19987150400274,0,-316.7000000000026,-87.2000000000007,166.1839999999996,0,0,1
