#{"t_start": 1679835358.9215086, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
41.407166,1506,262.569753,False,False,True,2,2412946043537042528,1506,0,0,0,16.536616645178484,13.774429983743884,12.955630196752756,9029.036366764081,8265.219421786385,8148.26786102495,781.8662570985352,868.3226519654055,939.5697331842243,-2051.881856024913,-886.8498365580895,-1063.6434722168397,376.2098486151716,344.38414257443236,339.5111608760424,97890,1506,8620,30,0,0,471,0,0,230,41.407156899828095,247.95658265359182,-66.0256412546233,0,-18.199999999999992,-28.39999999999993,113.11199999999992,0,1,1
84.93432,2441,457.766288,False,False,True,4,8698157313321341862,2441,0,0,0,16.207890489814634,11.17978937016003,16.207890489814634,13594.435254234357,10724.69680435431,12844.218959547548,1016.762677135393,887.0121484527658,1014.1300802963367,-2929.9035202796695,-966.7987466696813,-1447.424282701221,566.4348022597718,446.86236684809614,535.1757899811455,190398,2441,14221,30,0,0,470,0,0,3,84.93425898736062,321.7409041306291,-59.05535020646706,0,-20.99999999999999,-20.39999999999996,288.32000000000187,0,1,1
70.90008,2530,476.729976,False,False,True,3,789974133212406139,2530,0,0,0,16.634460422331014,11.820965732500678,15.665810452215855,13584.535816651423,13343.663109241352,16875.16844708723,1130.5597417715264,1371.9781065893162,1641.5408212369869,-94062.578042054,-1404.9915316826211,-2220.177503265668,566.0223256938214,555.985962885055,703.1320186286321,169510,2530,8883,79,0,0,551,0,0,938,70.90006286788302,400.3098932772403,-137.825516069942,0,-46.90000000000004,-62.200000000000344,272.01600000000053,0,1,1
13.405367,2880,552.834772,False,True,False,0,5874934615388537134,2880,0,0,0,16.661600241032108,13.888881660938825,15.706281669608632,19220.12868489206,18516.357936536948,16388.833931774014,1365.2965635775026,1694.2133796534358,1860.9487666201082,-2355781.8334066994,-3438.549456587376,-10581.51609220137,800.8386952038322,771.5149140223737,682.8680804905847,204480,2880,14226,360,0,0,571,0,4,630,13.405267443354495,555.4907380961083,-503.2471334359799,0,-60.200000000000095,-49.000000000000156,137.38800000000035,0,0,1
98.77127,2880,552.834772,False,True,False,1,4720721261117928062,2880,0,0,0,15.932033454754393,11.902284435539194,15.048858378686255,16629.157969430944,13880.399684881862,14710.683136328773,1224.2323452118758,1127.546181254372,1267.330914108629,-24357.19527913395,-1265.3754375080728,-1523.909444388429,692.8815820596186,578.3499868700794,612.9451306803692,296640,2880,17722,75,0,0,199,0,0,154,98.77126809217957,416.41199054645654,-126.24838199337928,0,-44.80000000000003,-43.200000000000074,390.4640000000032,0,0,1
96.680565,2880,552.834772,False,True,False,5,7424841456459477715,2880,0,0,0,16.26135918951321,13.746746000524146,15.050181156486627,25078.122836034392,15686.246633229222,18401.460809722794,1609.1102848703633,2166.8322955331346,1701.5207503011893,-262298.82929443277,-2142.958512528008,-4367.079956466766,1044.9217848347807,653.593609717886,766.7275337384464,120960,2880,10940,51,0,0,37,0,0,684,96.68029145444994,470.5873989968778,-135.9696502701773,0,-23.799999999999986,-124.80000000000123,394.06400000000446,0,0,1
107.01697,2876,851.354962,False,False,True,2,2753094865414633649,2876,0,0,0,15.523287523996968,13.888674517070072,14.159554569534231,12433.092877822237,15922.133865566624,14907.3376891815,1470.3140376031201,1373.6621338497814,1902.3295508664892,-4134.773293669571,-1394.503873746111,-2365.2990580587534,518.0455365759152,663.4222443986121,621.1390703825591,238708,2876,15234,10,0,0,476,0,0,380,107.0168272690593,477.66401596699956,-58.27905235264241,0,-7.000000000000001,-75.00000000000053,304.7160000000004,0,1,1
113.30634,2880,1050.676975,False,True,False,4,4716164252301366489,2880,0,0,0,16.653816486024326,13.888013306472427,15.347556382274815,23557.860025883416,21442.76421860738,17503.334395044436,1811.169970984904,2530.389767084639,1523.5705523372842,-8673.073924649068,-2428.8273261101635,-4311.122928397025,981.5775010784728,893.4485091086428,729.3055997935157,158400,2880,9052,37,0,0,0,0,0,662,113.30638047388344,643.2829265582229,-140.22464371492106,0,-18.89999999999999,-109.20000000000101,304.8800000000005,0,0,1
137.89366,2880,1068.398455,False,True,False,3,2184191404571879930,2880,0,0,0,16.179282936832124,13.8785914701137,15.836862245022381,29447.720803377124,25395.266170750067,22846.274113842195,1819.4364145767945,2356.9667215626705,1466.218922794416,-4818.542787917578,-2044.3605094806987,-1718.7458462894003,1226.988366807378,1058.1360904479232,951.9280880767537,100800,2880,4517,46,0,0,0,0,0,940,137.89367048515263,761.8579851225044,-130.3439622115881,0,-20.29999999999999,-102.00000000000091,318.1480000000008,0,0,1
129.67725,2880,1140.142017,False,True,False,0,2488343231644625808,2880,0,0,0,16.53233349699128,12.594182193173003,14.762863475952186,17700.97129218817,18075.570795254385,14002.453241288913,1502.982253295576,1563.8695237743616,1065.2877991454664,-122205.20951776748,-1301.8361037026025,-1498.3129465252614,737.5404705078415,753.1487831355976,583.4355517203728,241920,2880,16144,41,0,0,0,0,0,182,129.67725659828736,542.2671238576307,-91.53958426790807,0,-21.69999999999999,-56.80000000000027,405.83600000000405,0,0,1
