#{"t_start": 1679835446.8174877, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
87.89853,2880,525.919545,False,True,False,0,5874934615388537134,2880,0,0,0,16.606910795164215,7.354166666666667,14.273346631136897,18124.44714672629,14563.687500000424,12614.358322580643,1402.8297947097974,1105.5,1147.8809801806422,-14945.136175134649,-956.5,-13659.366812688884,755.1852977802637,606.8203124999944,525.598263440861,204480,2880,17457,4,206,207,1759,671,33,205,87.89717247412084,436.91062499999964,-37.863590155271496,0,-14.200000000000006,-91.20000000000076,233.73599999999922,0,0,1
100.92738,2880,525.919545,False,True,False,1,4720721261117928062,2880,0,0,0,15.786041695192768,8.0,15.48180741998497,15991.079609618178,15567.3125,19089.403180261437,1193.4865253438861,615.0,887.3741139908735,-53658.28797983258,-513.0,-765.5580059342416,666.2949837340732,648.6380208333281,795.3917991775594,296640,2880,12063,0,145,52,2280,396,7,0,100.925336913521,467.0193750000192,-18.831353518862933,0,-3.8999999999999995,-28.79999999999993,190.0640000000004,0,0,1
93.53661,2880,525.919545,False,True,False,2,2412946043537042528,2880,0,0,0,16.46446716387331,7.375,14.022213851874016,17408.877173124733,12740.333333333987,14310.831742174913,1442.5071890545094,1200.0,1343.8963698095815,-3769.4764291105434,-1163.5,-7703.099256273959,725.3698822134995,530.847222222226,596.2846559239545,187200,2880,13578,7,175,393,1609,592,104,294,93.53666547020846,382.2099999999982,-46.43000717874951,0,-10.599999999999996,-85.00000000000067,321.04000000000144,0,0,1
95.006905,2880,525.919545,False,True,False,3,789974133212406139,2880,0,0,0,16.666297201693936,7.3125,14.723257097295415,14918.230367353815,16500.125,17214.44075799554,1197.33251693706,697.5,977.1779417428826,-40827.38446071807,-670.5,-1096.5821203824728,621.59293197305,687.5052083333346,717.2683649164804,192960,2880,6109,0,203,41,2181,445,10,973,95.00726569561998,495.00374999999286,-23.796155826266613,0,-9.600000000000001,-52.2000000000002,160.6360000000006,0,0,1
95.36787,2880,525.920045,False,True,False,4,8698157313321341862,2880,0,0,0,16.13491209378105,7.4375,13.77096870790442,17271.47481023973,12557.70833333363,15124.576017458077,1275.2770761360005,808.5,1055.9630995615555,-9850.563377647015,-737.5,-1757.5188362294723,719.6447837599823,523.2378472222175,630.1906673940907,224640,2880,14451,7,132,195,2033,487,26,215,95.36856283487319,376.73125000000215,-32.41987299076927,0,-7.8999999999999995,-40.60000000000004,276.40000000000117,0,0,1
108.68997,2880,525.920045,False,True,False,5,7424841456459477715,2880,0,0,0,16.13392348733172,7.520833333333334,14.07847832845701,25715.615168304907,16082.479166667224,14913.648412867264,1580.5261473068992,885.0,1100.4873329365687,-67598.39989356906,-830.5,-6156.824449104642,1071.483965346052,670.1032986111143,621.402017202804,120960,2880,8054,1,190,169,1986,478,56,622,108.69040858381331,482.47437499999756,-30.31992349710815,0,-5.799999999999998,-71.20000000000047,276.9880000000006,0,0,1
25.903666,1251,772.979584,False,False,True,5,7451938487489940729,1251,0,0,0,16.54450240212824,6.1875,15.698785385145275,7254.691964583798,1980.9375,5083.848511531214,674.4656619485698,318.0,608.1243882383261,-84667.91361562218,-327.5,-42775.62550974462,302.2788318576615,82.53906250000011,211.82702131379966,112590,1251,7572,5,66,63,905,212,0,0,25.903658401157966,59.42812500000001,-15.99817459305201,0,-3.5000000000000004,-10.399999999999995,125.89200000000034,0,1,1
99.108734,2880,1089.010719,False,True,False,0,2488343231644625808,2880,0,0,0,16.154444880929915,7.0,15.499361681715108,18297.282673007034,15862.458333333629,15023.035609471348,1512.3935296056231,721.5,956.3918750440762,-8439.487831401288,-573.0,-15643.230429752039,762.3867780419423,660.9357638888952,625.9598170613068,241920,2880,10906,3,92,184,2182,357,62,9,99.10932654251565,475.8737500000113,-24.48179074487703,0,-4.8,-45.80000000000011,193.8639999999995,0,0,1
107.21927,2880,1089.010719,False,True,False,1,8766480278738261042,2880,0,0,0,15.854727351470222,9.229166666666668,15.010246003584392,21439.934165370116,17637.0416666662,17319.378468692423,1729.1396010895228,786.0,1592.2382362782919,-78312.99092689693,-624.5,-23331.172902891427,893.3305902237857,734.8767361111163,721.6407695288475,184320,2880,13164,5,170,53,2135,510,7,502,107.21953421461231,529.1112499999965,-29.03404471232127,0,-5.000000000000001,-115.4000000000011,263.6399999999989,0,0,1
106.43783,2880,1089.010719,False,True,False,2,2753094865414633649,2880,0,0,0,15.871769771373955,7.1875,14.084509469152835,12519.883521768297,9538.0,11074.620290591934,1400.4458240046529,748.5,948.1287833608072,-5203.294505041384,-709.5,-12841.949079908141,521.6618134070131,397.4166666666628,461.442512107995,239040,2880,13521,0,9,455,1939,455,22,82,106.43788552746926,286.1399999999982,-18.808686835190358,0,0,-17.999999999999968,389.2960000000044,0,0,1
