#{"t_start": 1682153765.5440924, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
22.998075,1157,11439.751659,False,False,True,22,3378953895584212157,1157,0,0,0,16.22170498983252,8.125,12.68408295118263,6754.979895561824,2712.520833333331,5081.128423899203,741.5506558197524,366.0,943.8824900061724,-1353.9284690536656,-382.5,-1874.4198566735313,281.45749564840924,113.02170138888903,211.71368432913468,101816,1157,8897,9,40,133,812,82,81,293,22.998084446965972,81.37562500000026,-23.83111831820429,0,-6.7,-12.199999999999989,99.34400000000015,0,1,1
27.195772,1332,11480.84087,False,False,True,14,7664468306534606621,1332,0,0,0,16.073734611537756,5.5,15.784558012150011,8098.513122298555,2548.354166666667,5290.188029865399,777.0928645202821,210.0,524.8911826462067,-4724.435404947226,-231.0,-650.6585430155671,337.4380467624442,106.18142361111143,220.42450124439017,154512,1332,9857,12,16,66,1127,82,29,0,27.195758809229417,76.45062500000014,-21.096072144624333,0,-11.999999999999996,0,119.8200000000003,0,1,1
56.440113,1880,11628.489279,False,False,True,12,2313447293076694939,1880,0,0,0,16.41748040926408,10.604166666666666,15.96650752993874,11942.519884417594,9755.312499999945,9670.000988087222,1052.874634281028,643.5,906.7856554218587,-5417.563756032675,-658.0,-2144.341728610883,497.60499518407704,406.4713541666633,402.9167078369668,178600,1880,7188,13,138,102,1329,167,131,419,56.44015100573896,292.6593750000011,-40.25846896556748,0,-16.20000000000001,-31.79999999999992,134.23999999999984,0,1,1
80.65389,2880,11877.743018,False,True,False,0,5874934615388537134,2880,0,0,0,15.768805892089794,10.062500000000002,13.841335599754647,19035.014008317594,17984.43750000003,19698.54418693341,1346.4589075585534,1381.5,1361.1927267870358,-9865.613799715418,-1254.5,-5118.11524501905,793.1255836798788,749.3515625000043,820.7726744555563,204480,2880,11467,26,305,105,1848,271,325,445,80.65437316849143,539.5331250000035,-83.99488598904485,0,-45.99999999999999,-112.80000000000106,187.18799999999993,0,0,1
88.32251,2880,11877.743018,False,True,False,1,4720721261117928062,2880,0,0,0,16.49603341411445,8.3125,15.00055856026448,16255.120113519113,10110.770833333017,12322.365644745605,1207.3977597912492,952.5,1403.0471459171126,-186154.25120094564,-794.5,-19318.7421116593,677.2966713966438,421.2821180555496,513.431901864396,296640,2880,21191,22,81,265,2034,321,157,0,88.32209034149699,303.3231249999961,-55.31458295101191,0,-11.099999999999998,-82.40000000000063,375.4240000000042,0,0,1
99.92425,2880,11877.743018,False,True,False,2,2412946043537042528,2880,0,0,0,16.66301592961546,8.0,16.640488718081993,16177.6014987482,18343.5625,18061.650166436448,1414.743520259571,690.0,870.7873712496441,-3665.7497211941995,-607.5,-1697.4962595796421,674.0667291145312,764.3151041666624,752.5687569348501,187200,2880,9309,0,160,85,2335,140,160,347,99.92615232821842,550.306875000005,-26.513961030679084,0,-18.900000000000023,-48.80000000000015,143.4640000000002,0,0,1
101.72807,2880,11877.743018,False,True,False,3,789974133212406139,2880,0,0,0,16.100580882660022,9.4375,14.520317986308223,15521.41992346671,18415.3125,19898.450982988186,1279.886955094392,1249.5,1024.0585339645997,-30191.950354832297,-1026.0,-2282.3111330151796,646.725830144458,767.3046874999981,829.1021242911677,192960,2880,9105,0,238,208,1900,235,299,1135,101.72824047289578,552.459374999995,-45.68993216262569,0,-34.800000000000026,-100.80000000000089,239.19999999999897,0,0,1
102.891396,2880,11877.743518,False,True,False,4,8698157313321341862,2880,0,0,0,16.666393976402052,9.6875,14.184044162567348,16790.67199042298,13521.72916666675,16774.773044244095,1208.8925040764395,1180.5,1281.436771193754,-1114602.3588125107,-1004.5,-15730680.378705826,699.6113329343268,563.4053819444493,698.948876843506,224640,2880,12041,4,149,353,1805,351,218,130,102.89229134029743,405.6518749999912,-43.64212695821324,0,-16.000000000000007,-44.600000000000094,315.9439999999998,0,0,1
94.74144,2880,11877.743518,False,True,False,5,7424841456459477715,2880,0,0,0,16.026930560226177,8.645833333333332,13.987406247098315,22216.508955185323,15694.062500000646,18187.734886485487,1646.7038274051379,1410.0,1347.3856525981525,-41871.07026274988,-1292.5,-12622.346660501784,925.687873132732,653.9192708333295,757.8222869368914,120960,2880,9934,4,291,261,1751,206,367,199,94.7411867212395,470.82187499999657,-59.67875467256427,0,-48.0999999999999,-112.40000000000106,317.8040000000015,0,0,1
113.03882,2880,11877.743518,False,True,False,6,4963690030598406526,2880,0,0,0,16.328120967082796,10.166666666666668,13.750404068148091,23460.133815204306,20221.1458333323,17206.34710287905,1769.6120713700689,1408.5,1492.0806842796985,-11995.483167067123,-1273.0,-3469.846742894741,977.5055756335254,842.5477430555403,716.9311292866277,100800,2880,8588,4,342,146,1758,321,309,556,113.03827005457107,606.6343750000175,-59.18875467256449,0,-37.0,-80.2000000000006,247.98399999999938,0,0,1
