#{"t_start": 1680431210.2509482, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
18.595575,2079,379.441956,True,False,False,1,4720721261117928062,2079,1,0,1,15.992933194228256,13.875489810347386,15.786041695192768,11660.87678429705,13987.211152644342,10582.257053227613,898.4962978832511,1326.2052867997468,938.1004325188135,-3854.0746483023313,-1387.6397432702045,-6533.278603227624,485.8698660123834,582.8004646935156,440.9273772178186,214137,2079,11507,44,0,0,0,0,1,0,18.595713592253716,419.616334579331,-108.7420371311027,-66.72933598245062,0,-38.400000000000006,239.47600000000006,0,0,1
128.48996,2772,508.930658,False,False,True,3,789974133212406139,2772,0,0,0,16.294122383231876,13.797589351610346,15.441637648644583,14102.767769457547,13448.979188433977,13056.673975316222,1246.4425687897676,1074.0305680196368,1174.3236480369576,-88462814.13434795,-1074.0305662121386,-985.8595347541973,587.6153237273938,560.3741328514184,544.0280823048433,185724,2772,17582,0,0,0,0,0,1,1087,128.48994092031148,403.469375653019,-30.69373013115192,0,0,-60.200000000000315,458.36399999999463,0,1,1
167.48692,2880,525.909267,False,True,False,0,5874934615388537134,2880,0,0,0,16.59980616043182,13.88870613254264,15.093189761272257,19324.518307128725,27330.17556454375,19578.51685728405,1397.527634460932,1546.8031750967484,1768.8136963098843,-18050.067953415997,-1311.3230914149365,-3948.408003372041,805.1882627970367,1138.7573151893212,815.7715357201729,204480,2880,12213,1,0,0,0,0,2,199,167.48690878311012,819.9052669363123,-48.24381423765267,0,0,-81.60000000000062,314.86000000000064,0,0,1
113.54211,2880,525.909267,False,True,False,2,2412946043537042528,2880,0,0,0,16.60535466560371,12.032382405623578,15.90424426640139,16935.398452526475,10806.12814439335,11583.928432356808,1444.9562056032494,1202.4031786096348,1533.4324069386175,-15266.818766850165,-1155.467220537198,-3672.279362800012,705.641602188617,450.2553393497209,482.6636846815309,187200,2880,24654,11,0,0,0,0,1,265,113.5420980123462,324.1838443317985,-45.055256257721744,0,0,-98.80000000000086,500.924000000002,0,0,1
144.33679,2880,525.909267,False,True,False,4,8698157313321341862,2880,0,0,0,16.660368314239943,13.888855417545342,14.260605830926036,16236.035299866055,17500.824765230107,16501.938054833536,1216.7003104803543,938.9235598484321,1152.303175733612,-3704.707500002436,-795.8441005410183,-6593.734717494732,676.5014708277473,729.2010318845894,687.5807522847293,224640,2880,16435,19,0,0,0,0,1,241,144.33685169257427,525.0247429569032,-43.04363280145699,0,0,-30.999999999999922,415.03999999999974,0,0,1
125.55061,2880,525.909267,False,True,False,5,7424841456459477715,2880,0,0,0,16.02709485787414,13.62534395258322,14.974647244907139,26737.198910704523,25982.245401057775,20257.684058537878,1503.5417801115818,2033.4798495195787,1556.7846282971354,-5265548.572849776,-2022.2815261422968,-34412.277712511925,1114.0499546127185,1082.5935583774042,844.0701691057458,120960,2880,8375,151,0,0,0,0,3,376,125.550835600364,779.4673620317323,-245.8103484295465,0,0,-91.80000000000076,311.4480000000004,0,0,1
112.91895,2880,886.443261,False,True,False,1,8766480278738261042,2880,0,0,0,15.852592687690969,13.888888888888868,15.14419011840402,20074.752795567678,21708.534815272713,14831.219148928563,1716.999408357629,1647.1143258959025,1643.6032488566434,-17395.199655891593,-2305.232800379604,-3817.2229072870873,836.4480331486353,904.5222839696903,617.9674645386922,184320,2880,12986,81,0,0,0,0,0,679,112.91932597568751,651.2560444581723,-194.61208860405168,0,0,-76.80000000000055,297.67200000000133,0,0,1
-21.379297,2085,887.617975,True,False,False,0,2488343231644625808,2085,1,0,1,16.154444880929915,12.797451896351527,14.665543874105968,12356.055579801226,9974.844680009373,9697.402878296047,1085.1953095465726,1197.0499853705705,953.1540869277726,-2675.934775005749,-1017.553313830484,-1347.9982240492818,514.8356491583836,415.6185283337232,404.05845326233236,175140,2085,15197,51,0,0,0,0,1,117,-21.379269562865247,299.24534040028135,-94.0115425555965,-104.52356920364583,0,-46.000000000000114,339.6319999999976,0,0,1
134.76566,2880,1013.440006,False,True,False,3,2184191404571879930,2880,0,0,0,16.312575270223657,13.261531228192492,15.50101490520823,28224.03448720247,26586.82666302026,18568.700729071577,1913.879369815725,1835.0724318209693,1465.2929024147788,-18142.589204807737,-1862.4732571202144,-28254.348526035985,1176.0014369667674,1107.7844442925064,773.6958637113175,100800,2880,5524,103,0,0,0,0,1,570,134.76586237640782,797.6047998906055,-195.7736256321591,0,0,-99.60000000000088,306.36400000000424,0,0,1
136.15611,2880,1032.909071,False,True,False,2,2753094865414633649,2880,0,0,0,15.87831506058671,11.07391844307183,15.218507409228446,12143.688848077243,11600.669304997398,12608.052180585499,1403.9805551129975,700.8238354352658,882.5378937315602,-9547.486970570199,-444.33550608081003,-1136.270608223429,505.987035336556,483.36122104155874,525.335507524396,239040,2880,15806,0,0,0,0,0,1,0,136.15626707602826,348.02007914992225,-12.478476693752453,0,0,-21.799999999999955,503.19600000000804,0,0,1
