#{"t_start": 1681115914.9164069, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
-33.99298,2617,511.457006,True,False,False,6,4963690030598406526,2617,1,0,1,16.599945088364237,13.73257659250099,16.29674205615474,20130.55047414106,17686.766906072953,16236.617297384822,1601.1949888360352,2190.4641762146643,1174.9138183677242,-3890.4940691524725,-3061.262957349793,-1709.1215312484842,838.7729364225428,736.9486210863738,676.5257207243675,91595,2617,8803,50,0,0,0,0,4,886,-33.99323032141274,530.6030071821871,-184.94360797536976,-116.66846352254939,0,-70.20000000000046,220.59199999999862,0,0,1
125.50946,2745,537.449733,False,False,True,3,789974133212406139,2745,0,0,0,16.628971551707895,13.78149685020383,16.12853182595402,14399.90088086898,17627.375870529126,15213.547263294351,1186.9700525047062,1455.8847256149563,1014.9904929858802,-71789.83412980156,-1495.8141371652896,-1618.2084092303157,599.9958700362065,734.4739946053814,633.8978026372641,183915,2745,11336,21,0,0,0,0,0,807,125.50982738448067,528.8212761158728,-75.73831180898748,0,0,-39.800000000000026,339.77600000000183,0,1,1
117.86063,2880,565.159272,False,True,False,0,5874934615388537134,2880,0,0,0,15.641857724608048,13.885306971088317,14.790771702809533,18166.596357149123,19216.29419388129,14877.382235234605,1390.78147766941,2230.5698603460182,1133.281084110815,-37127.335075019444,-2081.7157717694026,-188755.1437469179,756.9415148812097,800.6789247450533,619.8909264681064,204480,2880,12617,7,0,0,0,0,0,763,117.8606418411277,576.4888258164384,-85.87297476967481,0,0,-92.80000000000078,309.3479999999998,0,0,1
141.7127,2880,565.159772,False,True,False,1,4720721261117928062,2880,0,0,0,16.11639123200254,13.888833765996855,15.786041695192768,15663.558038501384,22991.331689562216,16839.43074298769,1188.7641397904645,1747.553008923842,1315.4184694929415,-5582.394454695757,-1648.9179887307653,-1680.3952712992232,652.6482516042407,957.9721537317585,701.642947624485,296640,2880,13783,6,0,0,0,0,0,6,141.7126810621328,689.7399506868643,-72.61186431407094,0,0,-52.60000000000021,285.74800000000135,0,0,1
127.22768,2880,565.159772,False,True,False,2,2412946043537042528,2880,0,0,0,16.607031969455655,13.888783307084243,16.567520829275534,16758.11127803315,16134.870067319882,13811.659019581422,1469.8218557659245,1628.7394497749794,1290.4143457604503,-92921.00197127083,-1526.841780876628,-9273.21084688388,698.2546365847008,672.2862528049955,575.4857924825575,187200,2880,16949,0,0,0,0,0,1,209,127.22766792234832,484.0461020195972,-57.60409448550805,0,0,-49.40000000000016,386.32400000000183,0,0,1
129.57037,2880,565.159772,False,True,False,4,8698157313321341862,2880,0,0,0,16.61458911428651,10.70819859042751,15.519999020555197,16658.003070691062,10637.27709797992,14684.239304880648,1223.4657915734294,1025.6333944173282,1438.1469342031237,-28318.61498363144,-953.2463591778677,-3444.147693687851,694.0834612787902,443.2198790824961,611.8433043700228,224640,2880,17336,0,0,0,0,0,0,70,129.5704758776567,319.118312939397,-24.351457673456235,0,0,-20.999999999999957,503.65600000000114,0,0,1
112.725784,2880,565.159772,False,True,False,5,7424841456459477715,2880,0,0,0,16.026974691608764,13.888879460031145,15.559103687192373,24236.19487291337,19405.33148360442,16021.404986831778,1644.0110190762805,2135.2827663953926,906.782431044939,-58444.362185318525,-1904.2645806165629,-2527.9507950603197,1009.841453038044,808.555478483518,667.558541117986,120960,2880,6687,48,0,0,0,0,4,417,112.72575317559928,582.1599445081312,-132.52542545453753,0,0,-60.800000000000324,287.5199999999949,0,0,1
72.70817,2880,565.159772,False,True,False,7,5765488047046174020,2880,0,0,0,15.625594893533636,10.98093867924755,14.785070036967086,14352.746649352131,10761.033170021268,10817.616877300912,1538.563994214519,1690.682785425058,1251.246466253576,-3744.166131541654,-2170.1137786291974,-4062.8738225067077,598.0311103896582,448.3763820842202,450.73403655420395,259200,2880,23177,109,0,0,0,0,0,531,72.70822525893247,322.8309951006382,-204.55364354704312,0,0,-160.19999999999945,478.17200000000224,0,0,1
27.779991,1144,804.244748,False,False,True,1,8766480278738261042,1144,0,0,0,15.684549584221115,12.205826609016771,14.396908312877772,7899.069114391529,4043.3968613033912,5083.925363163613,767.2757142820373,617.6957427868562,571.7489248758592,-1144.5370024539882,-866.3248858906768,-932.3992675124927,329.12787976631404,168.47486922097463,211.83022346515025,73216,1144,6785,51,0,0,0,0,0,315,27.780096685991193,121.3019058391015,-90.87332572315464,0,0,-21.599999999999955,157.85199999999918,0,1,1
100.94115,2880,1134.395785,False,True,False,6,3166114941703161967,2880,0,0,0,16.66607185647269,13.877975582988208,15.418789916085299,24816.894845985527,18412.411346112454,14544.141456960258,1931.4104226082677,2416.4312311862054,1677.8402012067922,-5455.562028658256,-2270.0568338175935,-4607.0467541783455,1034.0372852493883,767.1838060880206,606.0058940400095,92160,2880,7554,64,0,0,0,0,0,417,100.94110201332798,552.3723403833746,-170.44572830340425,0,0,-103.00000000000092,326.72000000000094,0,0,1
120.25191,2880,1164.387239,False,True,False,3,2184191404571879930,2880,0,0,0,16.32134516929444,13.824703428566263,15.191191201233867,29075.113799460873,22049.983152049288,19596.641760132625,1820.462117496,2305.649532783553,1132.6608588130728,-8117.911868070389,-2137.2464310248456,-7289.735731272671,1211.4630749775326,918.7492980020546,816.5267400055278,100800,2880,4466,58,0,0,0,0,1,566,120.25204115931265,661.4994945614782,-154.2352476056016,0,0,-96.80000000000084,311.0480000000003,0,0,1
115.135025,2880,1194.771764,False,True,False,0,2488343231644625808,2880,0,0,0,16.483456695083003,13.852676190217759,15.710347072149826,17396.23773696207,14831.312073860994,13896.083405652029,1463.8508539534453,1855.687152511344,1364.0565058127995,-3985.774427933225,-1776.5328204162745,-1720.5599195350128,724.843239040084,617.9713364108746,579.0034752355006,241920,2880,18663,31,0,0,0,0,3,632,115.13501829798315,444.9393622158305,-96.37325242793041,0,0,-69.40000000000045,411.64400000000205,0,0,1
69.98242,2880,1194.772264,False,True,False,2,2753094865414633649,2880,0,0,0,15.94371692395006,13.843178158199693,13.873409379619796,12538.537650316008,15095.03887079951,11932.048658581469,1412.4371115508097,1817.383815190577,1412.0701166862127,-3291.0880823731795,-3102.9288186928434,-4428.0504064301185,522.4390687631649,628.9599529499803,497.1686941075578,239040,2880,18532,184,0,0,0,0,0,101,69.98221742763,452.851166123986,-293.18986155821113,0,0,-87.4000000000007,347.6320000000019,0,0,1
107.888695,2880,1194.772264,False,True,False,4,4716164252301366489,2880,0,0,0,16.569150345905417,13.529425395548218,15.195511544096174,22408.775995762688,16017.790274025228,15302.050697966028,1882.208018641472,2292.7606539614494,1623.6244861089592,-4685.233248157533,-2198.97243225415,-3010.298706273357,933.698999823445,667.4079280843841,637.5854457485812,158400,2880,10082,29,0,0,0,0,0,704,107.88864229082755,480.53370822075726,-118.19785447578982,0,0,-102.20000000000091,387.1960000000011,0,0,1
109.84261,2880,1194.772264,False,True,False,5,7451938487489940729,2880,0,0,0,16.56325912959448,13.073423657621653,15.698785385145275,16018.216338077176,15290.381000661868,15338.350415207575,1410.4782358206155,2074.8634621938886,1250.2675300621815,-102731.61895049145,-1934.9765677421774,-1054706.556808518,667.4256807532059,637.0992083609117,639.0979339669809,259200,2880,15309,28,0,0,0,0,0,193,109.84269002016688,458.71143001985513,-108.02728989885615,0,0,-64.00000000000037,372.372000000003,0,0,1
100.21115,2880,1194.772264,False,True,False,7,8275336682942969161,2880,0,0,0,16.515037872990707,11.911175527383222,14.88141224096265,15050.39588158436,13727.104381620751,13525.019036641395,1427.1400820221754,2062.848724098047,1302.0773167495865,-13756.929110271198,-1958.5848860024998,-3241.1855244947155,627.0998283993334,571.9626825675313,563.5424598600603,308160,2880,21577,48,0,0,0,0,0,927,100.21104969949735,411.8131314486225,-136.790833251638,0,0,-79.20000000000059,405.44399999999996,0,0,1
66.73078,2880,1430.39061,False,True,False,1,1329637740802083942,2880,0,0,0,16.65797166216085,8.131879298468462,13.852117488510345,15000.1324459112,5481.852903006376,8303.679951967866,1496.6255421218473,1446.7089594086522,1631.9709730473899,-4800.832921650466,-2456.967335813384,-2889.1432169025825,625.0055185796433,228.41053762526596,345.9866646653295,273600,2880,32410,9,0,0,0,0,2,429,66.7309982236196,164.45558709019136,-103.21359774847498,0,0,-123.00000000000121,462.1439999999973,0,0,1
106.055244,2857,1752.549194,True,False,False,6,3404044459247868407,2857,1,1,0,16.598627684596412,13.806778734396408,15.330405154319594,30146.472199037707,27950.48021646997,15235.35467830335,1523.541021818559,1775.2794896361304,993.2529804295071,-390141.9460206389,-1738.5953114297324,-10289.47921560093,1256.1030082932286,1164.6033423529152,634.806444929305,88567,2857,2037,13,0,0,0,0,2,709,106.0552303040161,838.5144064940995,-83.66374351272376,-44.65788019287977,0,-46.40000000000012,195.82799999999935,0,0,1
