#{"t_start": 1680431313.6133673, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
125.50946,2745,458.601946,False,False,True,3,789974133212406139,2745,0,0,0,16.628971551707895,13.78149685020383,16.12853182595402,14399.90088086898,17627.375870529126,15213.547263294351,1186.9700525047062,1455.8847256149563,1014.9904929858802,-71789.83412980156,-1495.8141371652896,-1618.2084092303157,599.9958700362065,734.4739946053814,633.8978026372641,183915,2745,11336,21,0,0,0,0,0,807,125.50982738448067,528.8212761158728,-75.73831180898748,0,0,-39.800000000000026,339.77600000000183,0,1,1
132.47852,2880,482.274781,False,True,False,0,5874934615388537134,2880,0,0,0,16.35495232037636,13.551459306103405,14.390033336808251,19492.737785022236,22446.639537856696,14249.129342939554,1406.9789497239537,1960.5992146867243,902.8518878180678,-14420.842676213164,-1849.9658436213965,-164846.16234785673,812.1974077092768,935.276647410695,593.7137226224818,204480,2880,15001,27,0,0,0,0,0,673,132.47849520612397,673.3991861357015,-103.59621489895896,0,0,-98.80000000000086,323.8680000000008,0,0,1
143.34601,2880,482.274781,False,True,False,1,4720721261117928062,2880,0,0,0,16.11639123200254,13.888833765996855,15.786041695192768,15646.614808583681,22999.829520301715,16807.63874379214,1180.9186026185316,1684.1034324415127,1318.4086084984142,-5650.270671824114,-1589.5915815138223,-1661.4115545399175,651.9422836910003,958.3262300125722,700.3182809913366,296640,2880,13781,6,0,0,0,0,0,6,143.3458842131462,689.99488560905,-65.71158033017616,0,0,-51.800000000000196,287.59200000000266,0,0,1
127.337746,2880,482.274781,False,True,False,2,2412946043537042528,2880,0,0,0,16.614833311663872,13.888783307084221,13.990211474531458,17381.455594381343,16134.870067323405,15284.626664314947,1447.5357883303109,1630.6980393659637,1323.615866431507,-121959249.76522228,-1528.8003704692583,-10476.217644939468,724.22731643254,672.2862528051423,636.859444346455,187200,2880,17490,0,0,0,0,0,1,224,127.33778665212677,484.04610201970274,-57.63538210694345,0,0,-49.20000000000016,386.8160000000019,0,0,1
129.57037,2880,482.274781,False,True,False,4,8698157313321341862,2880,0,0,0,16.61458911428651,10.70819859042751,15.519999020555197,16658.003070691062,10637.27709797992,14684.239304880648,1223.4657915734294,1025.6333944173282,1438.1469342031237,-28318.61498363144,-953.2463591778677,-3444.147693687851,694.0834612787902,443.2198790824961,611.8433043700228,224640,2880,17336,0,0,0,0,0,0,70,129.5704758776567,319.118312939397,-24.351457673456235,0,0,-20.999999999999957,503.65600000000114,0,0,1
112.725784,2880,482.274781,False,True,False,5,7424841456459477715,2880,0,0,0,16.026974691608764,13.888879460031145,15.559103687192373,24236.19487291337,19405.33148360442,16021.404986831778,1644.0110190762805,2135.2827663953926,906.782431044939,-58444.362185318525,-1904.2645806165629,-2527.9507950603197,1009.841453038044,808.555478483518,667.558541117986,120960,2880,6687,48,0,0,0,0,4,417,112.72575317559928,582.1599445081312,-132.52542545453753,0,0,-60.800000000000324,287.5199999999949,0,0,1
27.779991,1144,685.372956,False,False,True,1,8766480278738261042,1144,0,0,0,15.684549584221115,12.205826609016771,14.396908312877772,7899.069114391529,4043.3968613033912,5083.925363163613,767.2757142820373,617.6957427868562,571.7489248758592,-1144.5370024539882,-866.3248858906768,-932.3992675124927,329.12787976631404,168.47486922097463,211.83022346515025,73216,1144,6785,51,0,0,0,0,0,315,27.780096685991193,121.3019058391015,-90.87332572315464,0,0,-21.599999999999955,157.85199999999918,0,1,1
2.6837652,1744,795.713153,True,False,False,4,4716164252301366489,1744,1,0,1,16.045544805773137,11.660940263539345,14.815493128964945,14054.755898770343,10919.00756474028,9776.735762066273,1182.2156908922466,1619.1639958566536,985.4788261738513,-2710.147550411372,-1607.346422966852,-2549.5751350796045,585.6148291154303,454.95864853084464,407.36399008609584,95920,1744,5242,40,0,0,0,0,0,278,2.6838250058386137,327.57022694220825,-119.4582772005289,-57.36483328444132,0,-77.00000000000055,229.17999999999878,0,0,1
-32.27389,841,840.284312,True,False,False,1,1329637740802083942,841,1,0,1,16.65797166216085,7.608076217752366,13.852117488510345,4690.597151458226,1923.4041744297322,3332.129361539077,506.5559590322175,501.29702709928375,523.532842055242,-601.0827106165118,-439.97494332992454,-445.85765288004006,195.44154797742775,80.14184060123885,138.83872339746222,79895,841,6052,0,0,0,0,0,0,176,-32.273903565180575,57.702125232891994,-14.082261264114715,-62.72921422664345,0,-7.400000000000004,146.51199999999926,0,0,1
-8.910097,2547,956.713124,True,False,False,5,7451938487489940729,2547,1,0,1,16.56325912959448,13.073423657621653,15.698785385145275,14261.084676058797,12673.727594846914,13297.696035591962,1265.439053557996,1766.9219656323387,1154.8128776844335,-102424.78771763193,-1649.9529161612184,-1054417.3365101265,594.2118615024436,528.0719831186215,554.0706681496638,229230,2547,13325,28,0,0,0,0,0,164,-8.910021270060682,380.2118278454071,-93.48033093713985,-102.81727075477214,0,-51.40000000000019,328.11200000000116,0,0,1
124.36576,2880,1001.227272,False,True,False,3,2184191404571879930,2880,0,0,0,16.32134516929444,13.538595434675665,15.19106494020029,28889.63745005355,19634.748710735363,20520.256343006302,1797.44438172474,2084.200810697585,1648.8976771480643,-32204.00273413923,-2075.061576006409,-10756.932082745536,1203.7348937522268,818.1145296139732,855.0106809585965,100800,2880,5318,27,0,0,0,0,1,851,124.36580570622554,589.0424613220599,-110.50362708470679,0,0,-99.20000000000087,366.8560000000015,0,0,1
115.133766,2880,1028.050682,False,True,False,0,2488343231644625808,2880,0,0,0,16.483456695083003,13.852646424792395,15.710346941134306,17396.2376487393,14831.314069100545,13896.073824574902,1463.8533573011052,1855.7973049828859,1364.0703384605247,-3985.7329476388795,-1776.6439046207292,-1720.5880589974795,724.843235364138,617.9714195458557,579.0030760239531,241920,2880,18663,31,0,0,0,0,3,632,115.13384347732378,444.93942207301586,-96.39236120907273,0,0,-69.40000000000045,411.65600000000205,0,0,1
71.34067,2880,1028.050682,False,True,False,2,2753094865414633649,2880,0,0,0,15.94371692395006,13.843178158199693,13.873409379619796,12687.896681990467,14215.227753559204,11933.503614616735,1446.3177774307978,1663.1979310491358,1481.9658875509317,-3320.2140632422884,-2969.0306072284043,-4480.009696751973,528.662361749608,592.3011563983013,497.2293172756912,239040,2880,18573,184,0,0,0,0,0,101,71.3406301109695,426.4568326067772,-290.99305194096434,0,0,-77.80000000000057,370.3799999999984,0,0,1
