#{"t_start": 1681814893.2758873, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
-159.80313,621,62.959917,False,False,True,7,5765488047046174020,621,0,0,0,14.834516544592228,6.125,13.818486613834267,2837.815217847445,513.875,1936.007755367538,419.53345010990586,231.0,441.0970791677177,-649259.4345271876,-3584.0,-336.18452319773587,118.24230074364334,21.411458333333332,80.66698980698095,12420,621,5242,488,56,0,0,0,77,278,-159.80295833333463,15.41624999999999,-629.0699999999956,0,-358.3999999999967,0,13.235999999999997,0,1,1
-149.72267,1539,170.316795,False,False,True,6,4963690030598406526,1539,0,0,0,14.125,14.125,12.418536843286223,11017.62855237656,9052.333333333327,2689.5033999353886,1143.727993604566,1488.0,322.48013519165625,-2822.202776557925,-4845.0,-252.47360937772225,459.06785634902343,377.1805555555549,112.06264166397442,3078,1539,562,486,481,0,76,0,496,585,-149.72266666666758,271.57000000000045,-685.6099999999944,0,-484.4999999999943,-35.19999999999996,35.40399999999996,0,1,1
-210.76016,2393,269.528938,False,False,True,5,7424841456459477715,2393,0,0,0,16.5637729075139,14.125,16.383696234958027,25471.66792689685,13464.833333333314,19158.0069492892,1825.0194141624866,2631.0,799.7236927480533,-2507.6144878725822,-7167.0,-1107.6348387517614,1061.3194969540345,561.0347222222216,798.2502895537152,11965,2393,2532,672,821,0,23,0,877,492,-210.75916666667013,403.94499999999954,-972.2999999999854,0,-716.7000000000128,-55.200000000000244,75.69999999999987,0,1,1
-101.752045,2880,324.901238,False,True,False,0,5874934615388537134,2880,0,0,0,14.612138178457792,13.75,14.460236805369792,19512.98812178827,19393.833333332328,16689.588743150875,1957.4522195343473,3885.0,1208.7389359986764,-2554.505588921553,-6151.0,-4463.735864737165,813.0411717411797,808.0763888888865,695.3995309646169,40320,2880,8674,349,1236,0,0,0,1295,152,-101.75216666666664,581.8149999999993,-620.400000000069,0,-615.0999999999871,-84.60000000000066,127.77200000000029,0,0,1
-83.92547,2880,324.901238,False,True,False,1,4720721261117928062,2880,0,0,0,14.458832475995766,14.125,13.154391493720489,13837.912161044911,16017.958333333232,12732.454147457038,1670.6680272760257,4131.0,1494.163635520185,-3178.5606695887136,-5483.0,-3594.7230897235227,576.5796733768796,667.4149305555582,530.5189228107067,74880,2880,21347,284,1165,0,54,0,1377,183,-83.92554166666686,480.5387500000005,-538.6199999999842,0,-548.3000000000097,-79.00000000000058,181.82799999999858,0,0,1
2.6354806,2880,324.901238,False,True,False,2,2412946043537042528,2880,0,0,0,15.027511798522383,14.125,13.604074422249118,22338.356905124223,23821.95833333409,15360.87896640382,1923.280184851323,4113.0,1315.0639890241787,-7164.345713170281,-4392.0,-3728.790557870819,930.7648710468253,992.5815972222289,640.0366236001574,34560,2880,5695,69,1303,0,137,0,1371,58,2.6354583333333053,714.6587500000006,-274.80999999998835,0,-439.20000000000834,-94.4000000000008,109.56399999999982,0,0,1
-166.23642,2880,324.901238,False,True,False,3,789974133212406139,2880,0,0,0,15.204060007799997,14.125,15.031222671341233,20711.921718385493,17966.625000000004,16801.51208956293,2022.281524858672,3564.0,1886.4389071147875,-3403.392379383175,-7126.0,-3184.664118656475,862.996738266064,748.6093750000008,700.0630037317919,37440,2880,9796,544,1106,0,42,0,1188,986,-166.23554166666793,538.9987499999996,-851.4600000000778,0,-712.599999999967,-92.20000000000077,119.84799999999954,0,0,1
-341.98618,2880,324.901738,False,True,False,4,8698157313321341862,2880,0,0,0,15.623334432980144,13.708333333333334,15.623334432980144,11981.333662629215,8432.791666666693,7859.984532994704,1504.0907823610517,3345.0,1244.0090752215115,-6300.629424964953,-9411.0,-7081.0519187986065,499.2222359428821,351.3663194444445,327.49935554144656,63360,2880,24125,1029,736,0,0,0,1115,709,-341.98337500000144,252.9837499999993,-1436.3999999999537,0,-941.1000000000006,-93.20000000000078,165.81600000000003,0,0,1
-49.3739,2880,389.66604,False,True,False,7,8275336682942969161,2880,0,0,0,14.27029309965939,14.125,13.088482743434707,12727.046232028908,19833.250000000007,11984.39095728245,1479.319166795109,3861.0,1400.2726546422532,-2818.930007215065,-5009.0,-3256.450650727114,530.2935930012056,826.3854166666646,499.3496232201031,74880,2880,20168,221,1154,0,218,0,1287,94,-49.37374999999973,594.9975000000004,-451.53999999998524,0,-500.9000000000082,-113.80000000000108,174.9999999999999,0,0,1
-160.41592,747,402.065682,False,False,True,1,8766480278738261042,747,0,0,0,15.2094668199046,12.25,15.2094668199046,4556.462782601249,1527.5833333333333,3371.8327832782134,402.06122277360123,423.0,283.15794738039784,-611.5035177133788,-3778.0,-498.81972244795014,189.852615941719,63.64930555555556,140.4930326365916,8964,747,3190,490,116,0,0,0,141,169,-160.4157500000013,45.82750000000001,-640.2899999999955,0,-377.7999999999963,-4.600000000000001,14.367999999999983,0,1,1
