#{"t_start": 1681732690.3995078, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
-148.32645,1131,119.572775,False,False,True,5,7424841456459477715,1131,0,0,0,16.521229480208476,11.541666666666668,16.496955084343814,10514.302125420016,4322.562499999978,6096.931176308696,734.4258984617328,663.0,347.251971298773,-1204.063472641875,-4019.0,-383.19024346529557,438.09592189249975,180.10677083333368,254.0387990128617,5655,1131,1353,488,201,0,0,442,0,643,-148.32646214856382,129.67687499999997,-641.9116478913737,0,-401.8999999999956,-17.999999999999968,42.175999999999966,0,1,1
-277.8895,2419,265.307314,False,False,True,1,4720721261117928062,2419,0,0,0,14.305454001386062,13.729166666666668,14.187699494871122,11104.653869840846,8741.249999999975,9231.010793841082,1255.1337346465277,1567.5,1198.8609473913357,-7066.903741553269,-7874.0,-10653.364984967779,462.6939112433698,364.21874999999835,384.62544974337794,62894,2419,20811,938,436,0,0,1045,0,156,-277.8875939089373,262.2374999999996,-1240.887063453587,0,-787.4000000000141,-33.99999999999994,132.72399999999993,0,1,1
-54.77412,2880,312.603928,False,True,False,0,5874934615388537134,2880,0,0,0,14.183016789623073,13.625,13.854628134333552,20243.341393432,17391.91666666671,15558.929688009588,1723.8242606240287,2697.0,1594.3340241043813,-2611.318742735088,-4374.0,-2831.7345620590927,843.4725580596568,724.6631944444435,648.2887370003998,40320,2880,10493,282,800,0,0,1798,0,256,-54.77426995048925,521.7575,-447.01511970293814,0,-437.40000000000475,-118.00000000000114,152.01200000000043,0,0,1
49.435795,2880,312.603928,False,True,False,2,2412946043537042528,2880,0,0,0,15.54816444200242,13.9375,13.617771924485556,21136.437618820903,21356.833333332754,16389.884407590776,1893.9330165790743,2946.0,1233.4755911877446,-3027.3929540263966,-2772.0,-5221.794618434089,880.6849007842061,889.8680555555515,682.9118503162806,34560,2880,6939,6,910,0,0,1964,0,98,49.435781878331035,640.7049999999995,-107.23030873001501,0,-277.2000000000047,-113.00000000000107,153.3399999999999,0,0,1
-64.79566,2880,312.603928,False,True,False,3,789974133212406139,2880,0,0,0,15.090514841577386,13.979166666666668,13.574723291667526,19209.61417236477,16967.70833333316,15964.020382889326,1835.5254958803737,2601.0,1816.1783882812963,-2576.810763827049,-4620.0,-2597.4538059590323,800.400590515199,706.987847222222,665.1675159537236,37440,2880,11002,336,756,0,54,1734,0,1589,-64.79561272384981,509.03124999999994,-511.34492634309856,0,-462.00000000000256,-100.20000000000088,175.73999999999947,0,0,1
-125.7753,2880,312.603928,False,True,False,4,8698157313321341862,2880,0,0,0,14.70050575423882,13.125,14.507010138233639,14032.894255837691,12830.041666666562,11028.222116407693,1659.1361476262625,2632.5,1442.960283797874,-5480.3929619378105,-5287.0,-4053.0319201247653,584.7039273265609,534.5850694444434,459.5092548503205,63360,2880,23020,478,647,0,0,1755,0,0,-125.77560767321602,384.9012499999997,-684.4388960393096,0,-528.699999999997,-96.00000000000082,169.5840000000007,0,0,1
-156.02794,795,346.246554,False,False,True,1,8766480278738261042,795,0,0,0,15.209467043277451,10.291666666666668,15.209467043277451,4744.946946964185,1528.1666666666702,3391.2783892597404,405.1405771432442,327.0,325.5603781330072,-617.8729584682053,-3683.0,-499.3021035842675,197.70612279017445,63.67361111111118,141.3032662191562,9540,795,3421,488,89,0,0,218,0,169,-156.02782852199226,45.845,-629.9759711319423,0,-368.29999999999654,-6.400000000000003,22.66399999999998,0,1,1
-153.58617,1070,420.833637,False,False,True,3,2184191404571879930,1070,0,0,0,13.906926398174287,10.75,13.672048973796302,7156.56839968921,3435.6458333333335,3004.0848219808286,680.1662304324362,601.5,117.89725830459487,-2349.5147006741167,-3955.0,-343.7640212789595,298.1903499870508,143.15190972222223,125.17020091586785,2140,1070,330,487,182,0,0,401,0,206,-153.5861029617064,103.06937500000005,-638.5619927702277,0,-395.4999999999958,-19.599999999999962,29.075999999999986,0,1,1
-95.00293,2880,427.177293,False,True,False,5,7451938487489940729,2880,0,0,0,15.512809862467968,14.0,15.512809862467968,15347.15170631123,14647.375000000004,13397.080949696645,1561.2688714520586,2629.5,1315.9514536437844,-2566.055867211455,-5078.0,-2248.650372951765,639.4646544296265,610.307291666667,558.2117062373586,63360,2880,16857,428,694,0,5,1753,0,320,-95.00317958279983,439.42124999999993,-624.1923274968252,0,-507.8000000000013,-87.2000000000007,209.75200000000024,0,0,1
31.019201,2880,625.462403,False,True,False,0,2488343231644625808,2880,0,0,0,15.897946935807443,14.0,14.82893369467467,16004.176510194453,19329.68750000013,14466.704421079252,1680.4080189811114,2664.0,1385.1783975688247,-29967.620111908993,-3131.0,-50176.367498311454,666.8406879247716,805.4036458333321,602.7793508782987,51840,2880,13690,113,780,0,211,1776,0,355,31.019293210751258,579.8906250000019,-230.58286573549273,0,-313.10000000000264,-96.00000000000082,245.9079999999969,0,0,1
-13.719817,2880,625.462403,False,True,False,2,2753094865414633649,2880,0,0,0,15.113637145379037,14.0,14.745311023004193,13359.25802571004,17664.499999999993,11798.134648956579,1620.1160040443262,2797.5,2022.3385557479724,-5690.695417285187,-3817.0,-6216.62627178015,556.6357510712618,736.0208333333327,491.5889437065211,74880,2880,17305,208,787,0,20,1865,0,0,-13.71986097941938,529.935,-353.3501658765184,0,-381.70000000000624,-108.800000000001,231.5959999999988,0,0,1
53.294903,2880,625.462903,False,True,False,4,4716164252301366489,2880,0,0,0,15.929380397026062,13.979166666666668,14.663310863377955,26374.528991498857,23005.24999999936,20675.493557542795,2150.361195301082,2691.0,2039.1667069406403,-2277.727855632429,-2673.0,-1775.6830499213656,1098.9387079791136,958.5520833333075,861.4788982309481,25920,2880,5921,42,793,0,251,1794,0,483,53.294919563675506,690.1575000000075,-141.6519826179469,0,-267.3000000000031,-131.0000000000011,169.56400000000002,0,0,1
-275.2246,2055,660.20573,False,False,True,5,4753039369592592095,2055,0,0,0,16.188623108913976,14.0,14.162135126229256,9714.828269374684,8449.020833333325,6782.8456714331205,1108.6640027619717,1092.0,926.8493387180521,-10778.175607404291,-7390.0,-16605.1599795934,404.7845112239407,352.04253472222194,282.61856964304735,43155,2055,15303,913,333,0,81,728,0,0,-275.2227207446971,253.4706249999991,-1196.1309494681536,0,-739.0000000000126,-46.40000000000012,76.72399999999999,0,1,1
-110.3363,2880,663.438818,False,True,False,1,1329637740802083942,2880,0,0,0,15.774998489331328,14.0,14.972742466171034,13910.645170164184,10609.354166666626,11503.364308007776,1652.3547862011326,2593.5,1558.4059256650803,-19021.12627602294,-5067.0,-13183.020268889755,579.610215423502,442.05642361110927,479.30684616699347,63360,2880,19627,453,632,0,66,1729,0,150,-110.33647999781006,318.2806249999993,-651.1635049868656,0,-506.69999999999965,-72.20000000000049,249.76399999999714,0,0,1
-11.471535,2880,740.355826,False,True,False,3,7390452496230446618,2880,0,0,0,14.337056413107675,14.0,14.15728545316749,25462.372878315895,20204.22916666605,19437.34035143314,1995.0642319831911,2754.0,1659.276941278246,-27968.599450967766,-3987.0,-60214.16090608565,1060.9322032631135,841.8428819444326,809.8891813097154,23040,2880,5623,222,811,0,11,1836,0,130,-11.471507835056395,606.1268750000006,-372.27992201034283,0,-398.7000000000059,-99.60000000000088,195.6240000000009,0,0,1
-155.52359,814,832.116036,False,False,True,3,5369497044354532241,814,0,0,0,8.8125,8.8125,0,1664.2708333333342,1664.2708333333342,0,343.5,343.5,0,-3699.0,-3699.0,0,69.34461805555553,69.34461805555553,0,814,814,0,486,99,0,0,229,0,388,-155.52349551927924,49.928125,-628.3370981156644,0,-369.8999999999965,-9.0,24.167999999999996,0,1,1
-81.68612,2880,938.147346,False,True,False,0,377914054924498011,2880,0,0,0,16.1655221153931,13.729166666666668,14.995955105733298,13135.473946914897,16895.41666666619,13905.45337417353,1532.9800887229915,2617.5,1441.6138276002325,-2189.3503373082103,-4921.0,-1769.4677595495625,547.3114144547854,703.9756944444485,579.3938905905652,69120,2880,18960,379,756,0,0,1745,0,101,-81.68625888780366,506.86250000000035,-566.1560533268387,0,-492.1000000000014,-105.60000000000096,166.87600000000012,0,0,1
