#{"t_start": 1681990685.0488422, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
4.2645197,703,59.699132,False,False,True,7,5765488047046174020,703,0,0,0,14.834516544592228,3.625,13.5387442761613,3420.105047271915,512.0833333333334,2333.6011612383377,466.5862666067948,97.5,526.9493958141675,-442448.2030509445,-105.0,-465.53553797221974,142.50437696966245,21.336805555555554,97.23338171826394,14060,703,5765,9,14,0,624,47,9,278,4.264523208561555,15.362500000000033,-13.899360748630711,0,-9.0,0,33.12399999999996,0,1,1
27.840034,1252,109.599872,False,False,True,9,8026632172992807823,1252,0,0,0,14.411873599275582,9.0,13.881172176935413,9054.875160573476,4879.625000000004,6589.396677293406,735.7985669288646,414.0,782.253109755878,-1019.2410069243184,-422.0,-1445.330921253219,377.2864650238958,203.31770833333385,274.5581948872257,11268,1252,4023,8,117,10,881,196,40,0,27.840031687170477,146.38874999999962,-24.916559876977175,0,-14.299999999999999,-25.39999999999994,85.26799999999999,0,1,1
34.957428,1665,147.665539,False,False,True,8,3015786952870474233,1665,0,0,0,15.383287799096372,9.5,14.459859088018547,10928.971303645121,6518.75,7796.234466950528,1033.5602948989747,595.5,922.6936479458899,-1931.9644205213835,-608.5,-964.9074772806742,455.37380431855166,271.61458333333286,324.843102789605,21645,1665,6410,10,178,3,1136,279,59,0,34.95738925136937,195.5624999999994,-34.44616449178436,0,-29.800000000000026,-35.19999999999996,113.62800000000004,0,1,1
65.900154,2706,236.649625,False,False,True,6,4963690030598406526,2706,0,0,0,12.798152284916137,8.8125,12.79788765370524,22042.85008155231,14330.958333333429,4664.110054691969,1253.1847599497476,1098.0,361.4499157232776,-1105.0878411242124,-1107.5,-59.198563106582704,918.452086731349,597.1232638888918,194.33791894549864,5412,2706,448,11,332,23,1732,484,124,1381,65.90010407958968,429.92875000000174,-55.16012552246307,0,-73.99999999999976,-72.8000000000005,167.43199999999976,0,1,1
71.400185,2732,238.866513,False,False,True,3,789974133212406139,2732,0,0,0,15.118659814952135,9.3125,14.75447124089997,19145.11800364351,14639.249999999993,19344.31979840467,1627.7626477747021,1153.5,1291.2288386979023,-2321.1997171425646,-1163.0,-2844.196763670027,797.7132501517999,609.9687500000006,806.0133249335314,35516,2732,8597,11,357,10,1740,459,155,491,71.40002946415697,439.177500000001,-58.38532321505959,0,-61.99999999999987,-76.20000000000054,185.8079999999995,0,1,1
59.81722,2880,252.350374,False,True,False,0,5874934615388537134,2880,0,0,0,13.93821729735463,8.875,13.917337529622236,17195.172092807094,10001.500000000162,12683.81149163459,1597.177585450976,1114.5,1479.0273266610918,-2619.463612485707,-1466.0,-4182.150370898906,716.465503866956,416.7291666666693,528.4921454847753,40320,2880,14183,17,263,372,1609,495,124,839,59.817422804741945,300.0450000000006,-64.53246317154918,0,-35.59999999999998,-94.0000000000008,252.99199999999922,0,0,1
80.08595,2880,252.350374,False,True,False,1,4720721261117928062,2880,0,0,0,15.708902706499682,9.854166666666668,15.708902706499682,13273.69239429436,15472.041666666188,11474.365483565853,1500.1406433415045,1425.0,1536.3357123205963,-3754.536673905986,-1474.5,-3240.568699115201,553.0705164289179,644.6684027777881,478.09856181524464,74880,2880,20542,42,387,13,1574,778,86,0,80.08606524054284,464.1612499999981,-100.91285855674289,0,-78.89999999999995,-81.00000000000061,277.1679999999984,0,0,1
95.07332,2880,252.350374,False,True,False,2,2412946043537042528,2880,0,0,0,15.590985160563692,9.625,14.734670524220402,22383.979085604886,19526.416666666817,20699.480114819526,1738.9785287307427,1702.5,1347.0967912871065,-2443.059037035086,-1494.5,-3196.896638020386,932.66579523356,813.6006944444432,862.4783381174798,34560,2880,6964,5,485,3,1437,765,185,0,95.07336328032501,585.7924999999992,-67.29232031805007,0,-87.79999999999957,-97.40000000000084,237.13999999999945,0,0,1
85.26165,2880,252.350374,False,True,False,4,8698157313321341862,2880,0,0,0,14.8887698264715,9.187500000000002,13.749058539908926,13881.459891316377,13185.625000000073,13529.808274849122,1591.8048137068654,1579.5,1546.9126998887261,-3935.4405195258046,-1408.5,-4318.476772853081,578.3941621381805,549.4010416666677,563.7420114520505,63360,2880,18137,15,408,53,1491,773,140,600,85.2613236582664,395.5687500000006,-72.51280805040332,0,-48.900000000000006,-109.20000000000101,346.6120000000019,0,0,1
85.129684,2880,252.350374,False,True,False,5,7424841456459477715,2880,0,0,0,16.46188259804894,9.291666666666668,13.714823970014901,24549.710467452933,16021.020833332954,13450.464439695477,1880.6380177682358,1525.5,1422.5657445065012,-1945.1036921487728,-1533.5,-2488.53977475237,1022.9046028105404,667.5425347222276,560.4360183206455,14400,2880,3660,17,453,37,1511,707,155,171,85.12952119864761,480.63062500000143,-77.75349780811108,0,-55.99999999999992,-97.60000000000085,261.4999999999996,0,0,1
102.86852,2880,252.350374,False,True,False,10,8817559435777250507,2880,0,0,0,15.696990973195309,10.6875,15.638120658653634,21287.271792146872,20501.895833333656,18313.11897334645,1789.9261793890182,1522.5,1694.8872630990556,-4430.041400175748,-1346.0,-8742.13082240786,886.9696580061305,854.245659722227,763.0466238894332,37440,2880,8112,5,435,4,1559,739,138,153,102.86861024385644,615.0568750000008,-60.04521353686378,0,-81.49999999999963,-90.00000000000074,233.6999999999996,0,0,1
169.35959,2880,252.350374,False,True,False,11,1185850812994184742,2880,0,0,0,15.497242671040494,13.625,15.358984775103277,31439.634109158047,30177.4375,14209.161249868406,1398.4473033729387,631.5,1011.266202582639,-1089.502355120772,-309.0,-754.9853365112966,1309.9847545482223,1257.3932291666667,592.048385411183,8640,2880,1790,0,103,0,2379,375,23,159,169.35975388036573,905.3231250000156,-15.67660171779814,0,-30.60000000000005,-98.40000000000086,255.51199999999938,0,0,1
109.32806,2880,314.796313,False,True,False,7,8275336682942969161,2880,0,0,0,13.88382829080482,9.5625,13.757074831277857,13897.063516182176,16618.8125,13232.486119365416,1520.6430077624702,1240.5,1142.3451275651648,-2769.999602885098,-1026.0,-2271.03496492618,579.0443131742727,692.4505208333378,551.3535883068901,74880,2880,18583,0,336,12,1816,605,111,184,109.32816327338621,498.5643750000007,-42.57139535968414,0,-34.800000000000026,-95.80000000000082,330.5760000000025,0,0,1
2.7805922,794,323.994923,False,False,True,1,8766480278738261042,794,0,0,0,15.209466878188,8.416666666666668,15.209466878188,4741.0378352346515,1528.54166666667,3406.030117886203,400.8902953702055,277.5,321.3753920478638,-334.59509184605497,-286.0,-496.29998366258116,197.54324313477838,63.689236111111185,141.91792157859174,9528,794,3434,10,72,0,562,115,35,169,2.780593134423646,45.85624999999996,-22.292691193458154,0,-26.800000000000022,-5.8000000000000025,25.71999999999998,0,1,1
18.063068,1105,340.162254,False,False,True,3,2184191404571879930,1105,0,0,0,13.94641900114614,8.0625,13.74312339710818,8031.710978735967,3439.354166666665,2050.2742407717715,621.5123392511987,408.0,62.96460211139352,-491.14682326598484,-421.5,-105.54370711001829,334.65462411399943,143.30642361111092,85.42809336549044,2210,1105,161,9,104,31,759,132,70,635,18.063048131110612,103.1806250000002,-26.59033621333629,0,-12.599999999999994,-18.799999999999965,63.187999999999974,0,1,1
41.085953,2362,359.671172,False,False,True,8,9106021629477276091,2362,0,0,0,14.6245041060111,9.0,14.122229722413165,10898.46011003531,5080.708333333334,7232.151368987987,1157.4974807021408,643.5,1088.9045217394187,-2878.895198300152,-1185.0,-1786.117187491774,454.1025045847989,211.69618055555503,301.33964037449715,54326,2362,21918,9,184,380,1409,331,49,133,41.0861888571749,152.4212500000003,-40.74011685694471,0,-23.100000000000012,-43.00000000000007,200.93599999999947,0,1,1
111.28644,2880,369.900463,False,True,False,9,2645421825986888207,2880,0,0,0,14.309142377486415,11.854166666666668,13.567549695937483,24898.263342117487,21575.187499999294,16157.382648173001,1806.1137161406696,1531.5,1598.0370780518901,-3551.07976692713,-1322.5,-2175.7701331911985,1037.427639254914,898.966145833321,673.22427700721,25920,2880,4885,4,429,5,1557,749,136,292,111.28654741323533,647.2556250000065,-58.41634052058597,0,-81.39999999999961,-108.000000000001,268.28000000000014,0,0,1
31.286522,1359,490.840646,False,False,True,8,2939588635529854450,1359,0,0,0,14.911704078328077,9.125,12.691317745251888,6429.1245260450305,5343.4375,3547.815064315062,697.4089886123521,441.0,411.90668359963576,-1732.2707754894384,-454.0,-3963.1088295945647,267.8801885852095,222.64322916666694,147.82562767979275,35334,1359,10250,10,124,8,961,218,38,0,31.28647994967897,160.30312500000065,-28.17224530192639,0,-17.799999999999997,-28.79999999999993,102.18800000000012,0,1,1
183.2283,2880,511.943842,False,True,False,6,3166114941703161967,2880,0,0,0,14.3125,14.3125,0,32692.5,32692.5,0,343.5,343.5,0,-33.0,-33.0,0,1362.187499999988,1362.187499999988,0,2880,2880,0,0,11,0,2669,171,29,68,183.22806493611265,980.774999999999,-5.926610383316,0,-2.7,-103.60000000000093,230.8199999999997,0,0,1
92.37204,2880,533.779667,False,True,False,0,2488343231644625808,2880,0,0,0,16.227715798482095,10.375,14.655546074392962,16021.171744951489,19553.95833333303,11485.421918111724,1608.1422863364694,1389.0,1638.2673309087575,-4322.161546710323,-1202.0,-3782.554536861651,667.5488227063187,814.7482638888845,478.55924658798983,51840,2880,12475,26,340,0,1720,662,132,324,92.37242707236328,586.6187499999894,-78.16418756581936,0,-64.0999999999998,-132.60000000000102,242.47999999999894,0,0,1
