#{"t_start": 1681732782.6658096, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
48.765594,2070,223.847766,False,False,True,4,8698157313321341862,2070,0,0,0,15.341111224518047,10.083333333333334,14.124486550991472,9298.376282622803,5803.916666666558,5392.610016392492,1095.2324426376426,760.5,781.6349243018625,-1898.258188241649,-755.0,-3039.701201872779,387.432345109279,241.8298611111104,224.69208401635456,45540,2070,14000,8,168,130,1297,427,40,577,48.76552681919398,174.1174999999988,-34.904339084836444,0,-15.199999999999998,-39.000000000000014,207.57999999999922,0,1,1
99.10807,2880,304.266911,False,True,False,0,5874934615388537134,2880,0,0,0,14.067334677879403,10.3125,13.798679072281436,17825.56860937669,15149.3125,13795.897521144092,1705.869363371309,1504.5,1456.5044887743456,-3140.7286236531136,-1351.5,-2332.0343392400646,742.7320253906901,631.2213541666666,574.8290633810028,40320,2880,11387,0,399,103,1428,897,53,404,99.10785062542327,454.47937499999864,-49.92427124746179,0,-34.20000000000003,-82.20000000000063,306.49200000000155,0,0,1
101.565674,2880,304.266911,False,True,False,1,4720721261117928062,2880,0,0,0,15.326372531552213,13.125,13.721024518333529,13877.65930913029,15965.687499999964,13728.817138643852,1411.2459345619511,1576.5,1130.5589210780324,-2010.8052689169663,-1389.5,-2100.1077115672606,578.2358045470882,665.2369791666739,572.0340474434979,74880,2880,19304,8,384,121,1359,965,43,0,101.56598440420939,478.9706250000041,-59.90671857474268,0,-47.79999999999989,-72.8000000000005,310.93200000000076,0,0,1
87.53167,2880,304.266911,False,True,False,2,2412946043537042528,2880,0,0,0,15.526261178180683,10.6875,14.364476017904394,20956.170964984463,14883.770833333334,18909.17930318996,1600.975783770646,1497.0,1275.6281980952947,-2049.2391025921766,-1414.5,-1996.1301913115133,873.1737902076973,620.1571180555536,787.8824709662457,34560,2880,6628,3,416,97,1388,954,22,0,87.5317259864861,446.5131250000014,-53.686769081082,0,-56.69999999999982,-81.20000000000061,270.2640000000004,0,0,1
91.289734,2880,304.266911,False,True,False,3,789974133212406139,2880,0,0,0,15.015142402150007,12.916666666666668,14.342022096763825,21242.339570970445,13918.083333333212,16822.18303031412,1686.3975659866096,1408.5,1540.8877190906028,-3095.7929493870397,-1302.5,-3528.4609812423487,885.0974821237838,579.920138888884,700.9242929297517,37440,2880,11304,17,315,159,1522,795,72,481,91.28921753832005,417.54250000000474,-66.12319477007813,0,-41.09999999999998,-91.40000000000076,328.81600000000316,0,0,1
81.47121,2880,304.266911,False,True,False,5,7424841456459477715,2880,0,0,0,16.612300168476125,10.625,16.612300168476125,23077.564556064674,12162.6250000001,14242.811871366299,1758.460780808835,1206.0,1244.2764832195464,-1530.555922475361,-1128.5,-1401.5600034179618,961.5651898360159,506.7760416666635,593.4504946402606,14400,2880,4336,8,297,121,1711,682,61,743,81.47141336471488,364.8787500000004,-49.9022698117114,0,-38.19999999999999,-70.60000000000046,282.65200000000016,0,0,1
34.126137,1516,375.010294,False,False,True,4,4716164252301366489,1516,0,0,0,15.758418412849089,9.9375,14.567515174323717,10772.222083066114,4321.916666666676,7807.782954955152,1046.5640972622061,420.0,639.1295135916492,-1127.1758815936762,-434.0,-1395.7758374872133,448.84258679442013,180.07986111111123,325.3242897897976,13644,1516,3512,11,119,0,1118,256,12,602,34.12612109344169,129.6574999999994,-27.82077343935024,0,-6.3,-29.19999999999993,138.42000000000004,0,1,1
6.0644794,826,391.13573,False,False,True,1,8766480278738261042,826,0,0,0,15.209466887180088,8.625,15.209466887180088,4943.432738041587,1523.8124999999982,3860.5647345832554,430.8624318893342,253.5,344.39048747673417,-331.48881658570735,-265.0,-415.78322966744827,205.97636408506617,63.49218750000003,160.85686394096885,9912,826,3658,13,58,0,594,153,8,169,6.064480249856393,45.714375000000075,-23.927493500861715,0,-18.70000000000001,-6.000000000000003,39.29999999999995,0,1,1
47.7653,1437,467.374614,False,False,True,2,2753094865414633649,1437,0,0,0,14.716626859881515,13.0625,14.716626859881515,6648.392259399389,4912.0625,5114.257492525132,761.0749093711249,367.5,600.0317647185935,-1417.9612662486293,-358.5,-1154.1603843503751,277.01634414163215,204.66927083332953,213.09406218854474,37362,1437,9747,0,84,71,1042,235,5,0,47.76548133304666,147.36187499999988,-11.824987001723295,0,-3.0,-38.2,192.25599999999926,0,1,1
125.157295,2880,604.292548,False,True,False,0,2488343231644625808,2880,0,0,0,14.927556528182706,12.229166666666668,14.789824961272126,17691.14754530198,20288.541666666802,14919.961486842827,1783.575732047132,1320.0,1764.9397930346913,-5574.22639854128,-1137.5,-6939.71826057538,737.1311477209252,845.3559027777783,621.665061951785,51840,2880,12157,5,348,39,1621,854,13,0,125.15739929600318,608.6562500000001,-47.94785422398322,0,-18.300000000000022,-103.80000000000094,312.3360000000017,0,0,1
