#{"t_start": 1681991187.4965224, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
50.60198,1938,208.9681,False,False,True,0,5874934615388537134,1938,0,0,0,14.529881639606181,8.375,13.898929156335896,12194.023842848466,9200.520833333334,10924.903416508923,1143.089513885937,730.5,826.1828630623819,-1555.1170542376626,-741.0,-1815.3804116791378,508.0843267853536,383.35503472222143,455.2043090212031,27132,1938,6885,6,161,144,1344,79,204,329,50.60203875196924,276.0156250000009,-37.247392488184275,0,-24.90000000000003,-36.999999999999986,126.74399999999997,0,1,1
57.309277,2154,232.55073,False,False,True,5,7424841456459477715,2154,0,0,0,16.648950119258917,8.25,16.604993244001307,19951.22077542295,8870.145833333232,12916.21245639543,1248.373005288893,816.0,972.7635873481986,-1091.7608496321075,-830.0,-971.2260348541149,831.3008656426185,369.58940972222155,538.1755190164756,10770,2154,2872,8,185,146,1471,144,200,396,57.309322723039436,266.10437499999887,-42.41243866176396,0,-30.000000000000036,-39.60000000000002,189.76399999999927,0,1,1
52.680183,2375,257.527106,False,False,True,6,4963690030598406526,2375,0,0,0,12.79773909398691,8.125,12.796982882689312,15560.79195491586,10776.916666666735,6156.982490805321,1104.5748030739,1206.0,497.813965048025,-1113.0747759546944,-1223.0,-429.81323815108897,648.3663314548294,449.0381944444444,256.5409371168884,4750,2375,1140,17,251,234,1370,202,301,1455,52.68025962268456,323.30749999999966,-68.20194226389317,0,-53.89999999999991,-61.80000000000034,176.67599999999953,0,1,1
84.694534,2880,313.039828,False,True,False,1,4720721261117928062,2880,0,0,0,15.042744492552071,10.0,15.042744492552071,14455.465048907827,16814.10416666665,14027.928532740523,1605.5173074591862,1611.0,1621.116330368417,-2119.66713941954,-1470.5,-2001.216048507211,602.3110437045193,700.5876736111111,584.4970221975173,74880,2880,18425,35,348,121,1628,422,326,0,84.6947942854375,504.42312499999827,-101.55835928737072,0,-60.09999999999986,-82.60000000000063,248.0039999999989,0,0,1
99.8189,2880,313.039828,False,True,False,2,2412946043537042528,2880,0,0,0,15.369705744984394,9.062500000000002,14.988704111028456,20939.28527376256,17746.4583333329,16415.002760201118,1751.2216794135318,1471.5,1543.8528620933553,-2429.4491433863927,-1377.0,-3661.804783665849,872.4702197401089,739.4357638888862,683.9584483417161,34560,2880,7001,3,287,330,1652,235,373,176,99.81885612419737,532.3937500000001,-60.34061325481556,0,-48.299999999999905,-91.20000000000076,266.36000000000024,0,0,1
96.217476,2880,313.039828,False,True,False,3,789974133212406139,2880,0,0,0,15.165518360944787,9.958333333333334,14.81933492816499,21242.434298558113,15323.124999999902,18023.26311203384,1844.1739788732486,1533.0,1681.8199160908325,-3530.231155023673,-1543.5,-4131.726588359544,885.1014291065812,638.4635416666621,750.969296334743,37440,2880,10212,12,325,323,1531,356,333,852,96.21778830382907,459.6937500000027,-73.71502017702637,0,-52.799999999999905,-79.00000000000058,323.12800000000266,0,0,1
96.81858,2880,313.039828,False,True,False,4,8698157313321341862,2880,0,0,0,15.09366462792,8.791666666666668,14.276256002841057,14148.792775649834,13519.104166666013,11858.059556343445,1608.3252666798078,1518.0,1475.8417976093863,-3453.6843845697967,-1328.0,-6723.348534178974,589.5330323187268,563.2960069444327,494.0858148476414,63360,2880,17170,5,232,398,1606,266,373,603,96.81872814861363,405.57312500000023,-60.84075610831435,0,-23.900000000000034,-84.60000000000066,344.6800000000022,0,0,1
83.71627,2880,313.039828,False,True,False,7,5765488047046174020,2880,0,0,0,16.080858173500445,9.0,16.05115222449856,14564.72475000427,11042.229166666666,12025.460038466437,1538.9059976450858,802.5,1484.4840635254723,-55522.53692091292,-1009.5,-6379.630858452109,606.8635312501622,460.09288194444514,501.06083493610026,57600,2880,19806,15,175,253,2030,279,128,316,83.71594044939212,331.2668749999972,-49.98723230364912,0,-14.0,-68.80000000000044,303.8159999999985,0,0,1
99.56321,2880,313.040328,False,True,False,8,3015786952870474233,2880,0,0,0,15.525750139790407,8.041666666666668,15.525750139790407,21306.57576670652,14986.041666666053,14709.850099886415,1788.9046500158208,1431.0,1952.0812428816398,-4175.560725237786,-1373.5,-3293.5292756942195,887.7739902794319,624.4184027777718,612.9104208285994,37440,2880,9851,4,181,535,1605,156,399,0,99.56313642800055,449.5812500000006,-58.31443143199588,0,-21.700000000000024,-111.80000000000105,339.612000000002,0,0,1
101.26095,2880,313.040328,False,True,False,9,8026632172992807823,2880,0,0,0,14.411873599275582,8.541666666666668,13.22002616811645,22703.420704181135,18027.208333332812,16671.992380138574,1831.3323891840687,1462.5,1504.4680397625177,-2209.15537891259,-1285.0,-2284.259537249015,945.9758626742002,751.1336805555374,694.6663491724394,25920,2880,6622,7,282,260,1750,187,394,3,101.2608634587308,540.8162499999971,-64.38306924761547,0,-42.99999999999994,-103.40000000000093,277.5320000000008,0,0,1
