#{"t_start": 1681722598.758001, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
2.5020778,116,15.196786,False,False,True,23,6400402971583623193,116,0,0,0,15.001887273626394,1.875,14.477593108769197,519.6114793231864,37.25,299.04304416285976,64.12533231366614,7.5,49.171841587141714,-62.60350866485101,-24.0,-45.71233641168763,129.9028698307966,9.3125,74.76076104071494,1740,116,856,3,1,0,107,5,0,0,2.5020786437626907,1.117499999999999,-3.9714213562373097,0,-0.7000000000000001,0,6.056,0,1,1
39.11985,292,36.274649,False,False,True,8,3015786952870474233,292,0,0,0,15.018699649496973,9.0,14.91450400899636,1936.6983907624626,1087.25,1122.9090988395778,187.69392914249528,118.5,145.7903207366564,-546.2411251777544,-135.0,-193.86444762520279,484.17459769061566,271.8125,280.72727470989446,3796,292,800,3,27,22,191,19,30,0,39.119844878854074,32.61749999999993,-8.549655121145936,0,-3.2000000000000006,-5.200000000000002,23.451999999999995,0,1,1
49.51715,324,40.113353,False,False,True,17,7794439212943009336,324,0,0,0,13.437900125239471,8.625,11.084610756349264,2149.3312078389886,1134.875,1366.895079711951,203.35896838810206,124.5,151.08100393381696,-201.40065725657826,-141.0,-199.22313988607573,537.3328019597471,283.71875,341.72376992798775,2268,324,557,3,27,26,213,27,28,226,49.51718362388451,34.04625000000002,-8.62906637611548,0,-1.0,-6.800000000000003,31.900000000000006,0,1,1
58.47169,374,46.298487,False,False,True,5,7424841456459477715,374,0,0,0,16.494540594119503,9.375,16.494540594119503,2976.496096123586,1600.625,1713.4278719148308,239.06026418647713,168.0,143.13335756076143,-236.8533529690448,-183.0,-225.84317829998926,744.1240240308965,400.15625,428.3569679787077,1870,374,504,3,40,28,231,32,40,48,58.47169372515224,48.018749999999976,-10.507056274847727,0,-4.6,-6.800000000000003,32.35999999999997,0,1,1
53.26563,389,48.166329,False,False,True,6,4963690030598406526,389,0,0,0,12.795511880037353,8.5,12.795511880037353,2594.6138885213727,1797.375,1028.9277589876658,176.10882553747862,195.0,63.8937007390727,-183.85882217947224,-210.5,-65.45269313395663,648.6534721303432,449.34375,257.23193974691645,778,389,184,5,45,27,233,28,51,217,53.26561508138962,53.92125000000003,-14.075634918610417,0,-6.999999999999998,-9.0,29.419999999999966,0,1,1
52.56228,412,50.932336,False,False,True,4,8698157313321341862,412,0,0,0,14.285763686603179,9.375,13.169514482332982,1845.1351787821177,1628.5,1636.8130724251425,223.6606401187963,223.5,206.4872474018377,-902.9451778489563,-252.0,-750.7029416069856,461.2837946955294,407.125,409.20326810628563,9064,412,2341,9,43,40,222,47,51,170,52.56226840147075,48.85499999999993,-19.600731598529165,0,-5.9,-9.399999999999999,38.60799999999997,0,1,1
96.5812,480,59.269365,False,True,False,0,5874934615388537134,480,0,0,0,14.060683569008157,9.0,14.060683569008157,3173.0212518203966,2605.0,2771.3483716431756,314.3269562719395,283.5,253.1270934284938,-647.570402712985,-252.5,-430.6203396747885,793.2553129550992,651.25,692.8370929107939,6720,480,1787,2,69,21,271,45,72,1,96.58123809766748,78.15000000000005,-13.616761902332502,0,-6.699999999999998,-12.799999999999986,51.54799999999998,0,0,1
88.69278,480,59.269865,False,True,False,1,4720721261117928062,480,0,0,0,15.340559093381682,10.125,13.32148262769598,1894.178366548283,2505.125,1727.4066356149947,246.10747505336496,283.5,266.46638277484925,-16802.665667364035,-271.5,-38917.01459894302,473.54459163707077,626.28125,431.85165890374867,12480,480,3645,6,63,27,252,75,57,56,88.69275433275891,75.1537499999998,-17.88499566724115,0,-6.999999999999999,-16.399999999999974,54.82399999999996,0,0,1
90.250984,480,59.269865,False,True,False,2,2412946043537042528,480,0,0,0,15.477333337041513,9.0,15.477333337041513,3232.15463786765,2602.125,2331.42415976748,295.1249600168324,252.0,237.10662721646136,-630.219323065052,-223.5,-448.159523784212,808.0386594669125,650.53125,582.85603994187,5760,480,1525,3,59,17,296,42,63,0,90.25097799639973,78.06375000000023,-13.428772003600248,0,-8.1,-12.199999999999989,45.915999999999954,0,0,1
76.28762,480,59.269865,False,True,False,3,789974133212406139,480,0,0,0,15.103552659753158,8.625,14.495894938443575,3339.273166218956,2205.0,2504.4179463983705,321.3967786856147,291.0,314.2952274633666,-790.1452293317981,-348.5,-1409.5190252206492,834.818291554739,551.25,626.1044865995926,6240,480,1656,8,69,57,224,50,72,281,76.2875829765216,66.15,-21.986417023478467,0,-6.2,-14.39999999999998,52.723999999999975,0,0,1
37.645176,480,59.269865,False,True,False,7,5765488047046174020,480,0,0,0,15.782152402793999,9.375,14.098498364725984,2280.1924095771237,1402.75,1761.0550122332402,281.5415470340933,195.0,281.52855831268226,-964.0806650608389,-233.0,-1570.6304510265581,570.0481023942809,350.6875,440.26375305831004,9600,480,3209,11,40,24,311,58,36,58,37.64518975770819,42.08250000000001,-20.7893102422919,0,-5.2,-22.99999999999995,44.55199999999999,0,0,1
105.01101,480,59.269865,False,True,False,9,8026632172992807823,480,0,0,0,14.593438474887867,10.625,14.556629933848864,4090.2938003464415,3048.125,3131.9148482809774,309.08996409131356,268.5,306.233827611266,-16735.870141193263,-245.5,-16523.1314633409,1022.5734500866104,762.03125,782.9787120702443,4320,480,932,1,61,37,263,57,61,94,105.01102850273847,91.44374999999992,-11.528721497261431,0,-6.999999999999998,-13.999999999999982,46.095999999999975,0,0,1
96.32285,480,59.269865,False,True,False,10,8817559435777250507,480,0,0,0,14.88597914050316,9.375,13.88743161859769,3348.153549631925,2883.75,2834.8961639973063,330.25043121043257,237.0,306.6098551048517,-2271.8861727596254,-250.0,-1990.6684800040432,837.0383874079813,720.9375,708.7240409993266,6240,480,1452,4,60,28,292,34,62,120,96.32287518265728,86.51250000000005,-14.75362481734264,0,-9.299999999999999,-14.999999999999979,48.86399999999996,0,0,1
164.99422,480,59.269865,False,True,False,11,1185850812994184742,480,0,0,0,15.532620761002297,12.75,15.395543199288968,5266.997187845575,4855.5,1822.2496965411622,259.05847869294905,135.0,112.69087955488305,-210.72609073244993,-102.0,-106.8898885949688,1316.7492969613938,1213.875,455.56242413529054,1440,480,216,0,34,0,368,66,12,49,164.99423809766756,145.6650000000004,-4.426761902332482,0,-4.199999999999999,-16.599999999999973,44.556,0,0,1
77.190994,480,59.270365,False,True,False,12,2313447293076694939,480,0,0,0,15.788937815406795,9.375,15.507455508382659,2355.5131593460346,2149.875,2396.446523453462,287.2434530649036,282.0,275.93103020186015,-392.74800307411215,-297.5,-446.5603013745379,588.8782898365087,537.46875,599.1116308633655,10560,480,2583,8,64,33,246,70,59,51,77.19097006151131,64.49624999999995,-20.65327993848861,0,-9.9,-10.599999999999994,53.84799999999997,0,0,1
66.556015,480,59.270365,False,True,False,13,7976349881628269149,480,0,0,0,15.747353043753021,10.125,15.556925251034336,2072.741956799534,1442.5,1603.4921845237163,250.72291315048716,204.0,254.92148205400522,-1424.149646724465,-237.0,-2262.6510744878433,518.1854891998835,360.625,400.8730461309291,11520,480,3249,6,40,50,283,66,35,0,66.55602453529441,43.274999999999956,-14.990975464705578,0,-4.9,-8.200000000000003,51.37199999999992,0,0,1
70.985176,480,59.270365,False,True,False,14,7664468306534606621,480,0,0,0,14.628246545304089,8.625,14.628246545304089,1796.4446342853425,1654.75,1286.0684569863147,249.63751344165448,226.5,153.23007954933172,-2318.7329058267887,-230.5,-571.8783472149263,449.11115857133564,413.6875,321.51711424657867,12480,480,3734,4,38,59,271,65,43,0,70.98525036531477,49.64249999999993,-13.01724963468529,0,-4.800000000000001,-18.199999999999967,57.35999999999992,0,0,1
70.4948,480,59.270365,False,True,False,15,6389429808806385535,480,0,0,0,14.555252455869432,9.0,14.555252455869432,2391.3651669491887,2047.875,1899.6750516684306,286.0229481555511,201.0,307.5431594521468,-663.4080335993457,-282.5,-1104.3213864314305,597.8412917372972,511.96875,474.91876291710764,11040,480,2981,11,34,69,257,84,25,0,70.49475649913838,61.436250000000115,-20.89749350086167,0,-7.6,-11.99999999999999,49.55599999999995,0,0,1
123.87895,480,59.270365,False,True,False,16,5228884918942040224,480,0,0,0,14.935677769228572,11.625,14.514220438940642,3573.8505300245165,3783.0,3136.615548040483,321.1324783823571,229.5,271.828215127578,-658.952637732061,-233.0,-425.57335620783317,893.4626325061291,945.75,784.1538870101208,5760,480,1142,2,67,12,288,69,42,57,123.8789740289556,113.48999999999951,-11.651025971044412,0,-9.800000000000002,-12.399999999999988,44.23999999999997,0,0,1
81.100105,480,59.270365,False,True,False,18,3682945665956147689,480,0,0,0,15.13169193016033,10.5,15.13169193016033,2724.205953072653,2245.875,2540.4327456442365,302.8291085404667,262.5,295.22806176615654,-231360.78778067304,-283.5,-4372.465337529443,681.0514882681632,561.46875,635.1081864110591,7200,480,1840,6,58,45,253,61,57,58,81.100117247769,67.37625000000001,-17.608132752230976,0,-7.7,-10.999999999999993,50.03199999999997,0,0,1
